county,fulldate,year,quarter,month,am_indian_alaskan_nat_pa,am_indian_alaskan_nat_na,am_indian_alaskan_nat_tot,tot_asian_pa,tot_asian_na,tot_asian_tot,asian_indian_pa,asian_indian_na,asian_indian_tot,cambodian_pa,cambodian_na,cambodian_tot,chinese_pa,chinese_na,chinese_tot,japanese_pa,japanese_na,japanese_tot,filipino_pa,filipino_na,filipino_tot,korean_pa,korean_na,korean_tot,laotian_pa,laotian_na,laotian_tot,vietnamese_pa,vietnamese_na,vietnamese_tot,other_asian_pa,other_asian_na,other_asian_tot,more_than_one_asian_pa,more_than_one_asian_na,more_than_one_asian_tot,black_pa,black_na,black_tot,tot_hawaiian_or_other_pa,tot_hawaiian_or_other_na,tot_hawaiian_or_other_tot,hawaiian_pa,hawaiian_na,hawaiian_tot,guamanian_pa,guamanian_na,guamanian_tot,samoan_pa,samoan_na,samoan_tot,other_pac_island_pa,other_pac_island_na,other_pac_island_tot,more_than_one_hawaiian_pac_island_pa,more_than_one_hawaiian_pac_island_na,more_than_one_hawaiian_pac_island_tot,white_pa,white_na,white_tot,two_races_am_indian_alaska_nat_white_pa,two_races_am_indian_alaska_nat_white_na,two_races_am_indian_alaska_nat_white_tot,two_races_asian_white_pa,two_races_asian_white_na,two_races_asian_white_tot,two_races_black_white_pa,two_races_black_white_na,two_races_black_white_tot,two_races_am_indian_alaska_nat_black_pa,two_races_am_indian_alaska_nat_black_na,two_races_am_indian_alaska_nat_black_tot,reported_races_not_incl_pa,reported_races_not_incl_na,reported_races_not_incl_tot,nonreporting_worker_undecided_pa,nonreporting_worker_undecided_na,nonreporting_worker_undecided_tot,total_pa,total_na,total_tot,hispanic_am_indian_alaska_nat_pa,hispanic_am_indian_alaska_nat_na,hispanic_am_indian_alaska_nat_tot,hispanic_tot_asian_pa,hispanic_tot_asian_na,hispanic_tot_asian_tot,hispanic_asian_indian_pa,hispanic_asian_indian_na,hispanic_asian_indian_tot,hispanic_cambodian_pa,hispanic_cambodian_na,hispanic_cambodian_tot,hispanic_chinese_pa,hispanic_chinese_na,hispanic_chinese_tot,hispanic_japanese_pa,hispanic_japanese_na,hispanic_japanese_tot,hispanic_filipino_pa,hispanic_filipino_na,hispanic_filipino_tot,hispanic_korean_pa,hispanic_korean_na,hispanic_korean_tot,hispanic_laotian_pa,hispanic_laotian_na,hispanic_laotian_tot,hispanic_vietnamese_pa,hispanic_vietnamese_na,hispanic_vietnamese_tot,hispanic_other_asian_pa,hispanic_other_asian_na,hispanic_other_asian_tot,hispanic_more_than_one_asian_pa,hispanic_more_than_one_asian_na,hispanic_more_than_one_asian_tot,hispanic_black_pa,hispanic_black_na,hispanic_black_tot,hispanic_tot_hawaiian_other_pac_island_pa,hispanic_tot_hawaiian_other_pac_island_na,hispanic_tot_hawaiian_other_pac_island_tot,hispanic_hawaiian_pa,hispanic_hawaiian_na,hispanic_hawaiian_tot,hispanic_guamanian_pa,hispanic_guamanian_na,hispanic_guamanian_tot,hispanic_samoan_pa,hispanic_samoan_na,hispanic_samoan_tot,hispanic_other_pac_island_pa,hispanic_other_pac_island_na,hispanic_other_pac_island_tot,hispanic_more_than_one_hawaiian_pac_island_pa,hispanic_more_than_one_hawaiian_pac_island_na,hispanic_more_than_one_hawaiian_pac_island_tot,hispanic_white_pa,hispanic_white_na,hispanic_white_tot,hispanic_two_races_am_indian_alaska_nat_white_pa,hispanic_two_races_am_indian_alaska_nat_white_na,hispanic_two_races_am_indian_alaska_nat_white_tot,hispanic_two_races_asian_white_pa,hispanic_two_races_asian_white_na,hispanic_two_races_asian_white_tot,hispanic_two_races_black_white_pa,hispanic_two_races_black_white_na,hispanic_two_races_black_white_tot,hispanic_two_races_am_indian_alaska_nat_black_pa,hispanic_two_races_am_indian_alaska_nat_black_na,hispanic_two_races_am_indian_alaska_nat_black_tot,hispanic_reported_races_not_incl_pa,hispanic_reported_races_not_incl_na,hispanic_reported_races_not_incl_tot,hispanic_nonreporting_worker_undecided_pa,hispanic_nonreporting_worker_undecided_na,hispanic_nonreporting_worker_undecided_tot,hispanic_tot_pa,hispanic_tot_na,hispanic_tot_tot,year,quarter
Glenn,2017-07-01,2017,3.0,JUL,7.0,38.0,45.0,5.0,57.0,62.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,38.0,42.0,0.0,1.0,1.0,0.0,10.0,10.0,0.0,2.0,2.0,4.0,18.0,22.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,813.0,931.0,2.0,13.0,15.0,0.0,3.0,3.0,0.0,4.0,4.0,0.0,1.0,1.0,45.0,302.0,347.0,10.0,36.0,46.0,191.0,1286.0,1477.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,109.0,123.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,45.0,290.0,335.0,5.0,25.0,30.0,65.0,433.0,498.0,4034,6.0
Humboldt,2017-07-01,2017,3.0,JUL,132.0,972.0,1104.0,26.0,313.0,339.0,1.0,11.0,12.0,0.0,4.0,4.0,1.0,11.0,12.0,0.0,7.0,7.0,1.0,45.0,46.0,1.0,10.0,11.0,6.0,65.0,71.0,0.0,9.0,9.0,16.0,133.0,149.0,0.0,18.0,18.0,26.0,308.0,334.0,2.0,35.0,37.0,1.0,18.0,19.0,0.0,2.0,2.0,0.0,9.0,9.0,1.0,5.0,6.0,0.0,1.0,1.0,497.0,7013.0,7510.0,39.0,406.0,445.0,4.0,48.0,52.0,6.0,50.0,56.0,3.0,13.0,16.0,74.0,1032.0,1106.0,24.0,991.0,1015.0,833.0,11181.0,12014.0,4.0,53.0,57.0,0.0,13.0,13.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,15.0,17.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,24.0,269.0,293.0,2.0,27.0,29.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,64.0,873.0,937.0,14.0,155.0,169.0,110.0,1415.0,1525.0,4034,6.0
Imperial,2017-07-01,2017,3.0,JUL,34.0,169.0,203.0,1.0,81.0,82.0,0.0,13.0,13.0,0.0,2.0,2.0,0.0,10.0,10.0,0.0,4.0,4.0,1.0,34.0,35.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,7.0,7.0,0.0,1.0,1.0,42.0,261.0,303.0,3.0,11.0,14.0,2.0,1.0,3.0,0.0,3.0,3.0,0.0,7.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,1204.0,7818.0,9022.0,3.0,28.0,31.0,7.0,27.0,34.0,3.0,16.0,19.0,1.0,2.0,3.0,766.0,5950.0,6716.0,149.0,615.0,764.0,2213.0,14978.0,17191.0,2.0,18.0,20.0,1.0,22.0,23.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,11.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,21.0,1.0,7.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1061.0,6544.0,7605.0,1.0,14.0,15.0,6.0,17.0,23.0,1.0,7.0,8.0,0.0,0.0,0.0,761.0,5928.0,6689.0,66.0,317.0,383.0,1902.0,12893.0,14795.0,4034,6.0
Inyo,2017-07-01,2017,3.0,JUL,34.0,242.0,276.0,0.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,521.0,551.0,3.0,21.0,24.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,93.0,100.0,2.0,42.0,44.0,77.0,935.0,1012.0,1.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,29.0,36.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,88.0,95.0,2.0,31.0,33.0,18.0,158.0,176.0,4034,6.0
Kern,2017-07-01,2017,3.0,JUL,59.0,438.0,497.0,125.0,1465.0,1590.0,56.0,449.0,505.0,14.0,79.0,93.0,2.0,24.0,26.0,1.0,20.0,21.0,32.0,580.0,612.0,0.0,29.0,29.0,2.0,27.0,29.0,2.0,31.0,33.0,12.0,182.0,194.0,4.0,44.0,48.0,1442.0,6330.0,7772.0,15.0,92.0,107.0,2.0,23.0,25.0,2.0,22.0,24.0,8.0,30.0,38.0,3.0,13.0,16.0,0.0,4.0,4.0,3905.0,28962.0,32867.0,36.0,290.0,326.0,30.0,178.0,208.0,42.0,214.0,256.0,5.0,32.0,37.0,2414.0,14123.0,16537.0,1290.0,7214.0,8504.0,9363.0,59338.0,68701.0,31.0,164.0,195.0,52.0,267.0,319.0,40.0,170.0,210.0,2.0,17.0,19.0,2.0,3.0,5.0,0.0,4.0,4.0,3.0,51.0,54.0,0.0,1.0,1.0,2.0,8.0,10.0,0.0,0.0,0.0,2.0,11.0,13.0,1.0,2.0,3.0,34.0,160.0,194.0,4.0,22.0,26.0,0.0,5.0,5.0,1.0,6.0,7.0,2.0,8.0,10.0,1.0,2.0,3.0,0.0,1.0,1.0,1669.0,10224.0,11893.0,12.0,82.0,94.0,13.0,63.0,76.0,3.0,34.0,37.0,1.0,8.0,9.0,2384.0,13711.0,16095.0,1216.0,6263.0,7479.0,5419.0,30998.0,36417.0,4034,6.0
Kings,2017-07-01,2017,3.0,JUL,7.0,84.0,91.0,29.0,241.0,270.0,4.0,54.0,58.0,1.0,9.0,10.0,2.0,4.0,6.0,0.0,6.0,6.0,17.0,125.0,142.0,0.0,1.0,1.0,2.0,12.0,14.0,0.0,5.0,5.0,3.0,22.0,25.0,0.0,3.0,3.0,101.0,707.0,808.0,1.0,13.0,14.0,0.0,6.0,6.0,1.0,1.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,3085.0,3657.0,4.0,23.0,27.0,3.0,25.0,28.0,4.0,23.0,27.0,1.0,5.0,6.0,384.0,2759.0,3143.0,314.0,2108.0,2422.0,1420.0,9073.0,10493.0,3.0,36.0,39.0,8.0,60.0,68.0,4.0,43.0,47.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,4.0,3.0,5.0,8.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,24.0,27.0,0.0,7.0,7.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,910.0,1208.0,0.0,7.0,7.0,2.0,4.0,6.0,2.0,2.0,4.0,1.0,4.0,5.0,377.0,2692.0,3069.0,277.0,1775.0,2052.0,971.0,5521.0,6492.0,4034,6.0
Lake,2017-07-01,2017,3.0,JUL,14.0,212.0,226.0,0.0,41.0,41.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,19.0,19.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,27.0,198.0,225.0,0.0,10.0,10.0,0.0,5.0,5.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,384.0,4405.0,4789.0,7.0,84.0,91.0,1.0,22.0,23.0,8.0,31.0,39.0,0.0,1.0,1.0,78.0,485.0,563.0,22.0,321.0,343.0,541.0,5810.0,6351.0,2.0,30.0,32.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,147.0,176.0,1.0,13.0,14.0,0.0,3.0,3.0,2.0,4.0,6.0,0.0,0.0,0.0,73.0,440.0,513.0,17.0,173.0,190.0,124.0,825.0,949.0,4034,6.0
Lassen,2017-07-01,2017,3.0,JUL,11.0,73.0,84.0,4.0,14.0,18.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,5.0,0.0,1.0,1.0,5.0,26.0,31.0,3.0,9.0,12.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,4.0,6.0,0.0,0.0,0.0,169.0,1081.0,1250.0,4.0,20.0,24.0,1.0,2.0,3.0,0.0,5.0,5.0,0.0,1.0,1.0,10.0,54.0,64.0,15.0,77.0,92.0,222.0,1362.0,1584.0,0.0,7.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,44.0,50.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,40.0,48.0,9.0,40.0,49.0,24.0,135.0,159.0,4034,6.0
Los Angeles,2017-07-01,2017,3.0,JUL,389.0,2388.0,2777.0,1587.0,19121.0,20708.0,76.0,942.0,1018.0,203.0,1583.0,1786.0,229.0,3621.0,3850.0,40.0,479.0,519.0,429.0,5142.0,5571.0,165.0,2283.0,2448.0,14.0,110.0,124.0,182.0,2959.0,3141.0,198.0,1530.0,1728.0,51.0,472.0,523.0,13521.0,92735.0,106256.0,155.0,1023.0,1178.0,16.0,190.0,206.0,5.0,62.0,67.0,105.0,643.0,748.0,21.0,107.0,128.0,8.0,21.0,29.0,25693.0,150834.0,176527.0,337.0,1398.0,1735.0,87.0,599.0,686.0,228.0,1314.0,1542.0,45.0,287.0,332.0,37013.0,161427.0,198440.0,2449.0,18385.0,20834.0,81504.0,449511.0,531015.0,288.0,1389.0,1677.0,37.0,228.0,265.0,3.0,7.0,10.0,1.0,8.0,9.0,1.0,22.0,23.0,2.0,22.0,24.0,15.0,79.0,94.0,1.0,8.0,9.0,2.0,23.0,25.0,0.0,5.0,5.0,12.0,45.0,57.0,0.0,9.0,9.0,179.0,955.0,1134.0,7.0,104.0,111.0,3.0,43.0,46.0,0.0,9.0,9.0,4.0,25.0,29.0,0.0,25.0,25.0,0.0,2.0,2.0,15985.0,80173.0,96158.0,232.0,770.0,1002.0,11.0,72.0,83.0,50.0,228.0,278.0,9.0,22.0,31.0,35102.0,150582.0,185684.0,0.0,1.0,1.0,51900.0,234524.0,286424.0,4034,6.0
Madera,2017-07-01,2017,3.0,JUL,10.0,135.0,145.0,19.0,108.0,127.0,8.0,39.0,47.0,0.0,6.0,6.0,1.0,3.0,4.0,0.0,2.0,2.0,6.0,20.0,26.0,0.0,2.0,2.0,1.0,11.0,12.0,0.0,3.0,3.0,3.0,21.0,24.0,0.0,1.0,1.0,62.0,389.0,451.0,0.0,8.0,8.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,611.0,4526.0,5137.0,5.0,39.0,44.0,1.0,12.0,13.0,1.0,11.0,12.0,2.0,3.0,5.0,581.0,2584.0,3165.0,315.0,1986.0,2301.0,1607.0,9801.0,11408.0,2.0,25.0,27.0,3.0,34.0,37.0,3.0,22.0,25.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,19.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,1903.0,2206.0,1.0,6.0,7.0,0.0,5.0,5.0,0.0,2.0,2.0,2.0,2.0,4.0,574.0,2543.0,3117.0,259.0,1497.0,1756.0,1145.0,6037.0,7182.0,4034,6.0
Marin,2017-07-01,2017,3.0,JUL,7.0,41.0,48.0,12.0,293.0,305.0,4.0,42.0,46.0,0.0,2.0,2.0,2.0,41.0,43.0,0.0,6.0,6.0,3.0,39.0,42.0,0.0,18.0,18.0,0.0,3.0,3.0,1.0,92.0,93.0,2.0,40.0,42.0,0.0,10.0,10.0,70.0,518.0,588.0,6.0,8.0,14.0,4.0,1.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,4.0,5.0,0.0,1.0,1.0,214.0,3140.0,3354.0,6.0,40.0,46.0,1.0,29.0,30.0,3.0,28.0,31.0,1.0,3.0,4.0,211.0,1127.0,1338.0,10.0,171.0,181.0,541.0,5398.0,5939.0,6.0,19.0,25.0,0.0,10.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,617.0,708.0,2.0,11.0,13.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,197.0,1060.0,1257.0,8.0,64.0,72.0,305.0,1799.0,2104.0,4034,6.0
Mariposa,2017-07-01,2017,3.0,JUL,3.0,37.0,40.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,70.0,799.0,869.0,3.0,43.0,46.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,30.0,0.0,8.0,8.0,79.0,935.0,1014.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,44.0,50.0,1.0,6.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,23.0,0.0,2.0,2.0,9.0,85.0,94.0,4034,6.0
Mendocino,2017-07-01,2017,3.0,JUL,47.0,398.0,445.0,4.0,74.0,78.0,2.0,27.0,29.0,0.0,3.0,3.0,0.0,12.0,12.0,0.0,0.0,0.0,1.0,21.0,22.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,6.0,7.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,100.0,106.0,1.0,11.0,12.0,1.0,8.0,9.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,312.0,4022.0,4334.0,15.0,130.0,145.0,0.0,11.0,11.0,1.0,22.0,23.0,1.0,6.0,7.0,83.0,523.0,606.0,53.0,440.0,493.0,523.0,5737.0,6260.0,4.0,24.0,28.0,2.0,25.0,27.0,2.0,20.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,233.0,267.0,3.0,11.0,14.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,78.0,472.0,550.0,48.0,285.0,333.0,170.0,1055.0,1225.0,4034,6.0
Merced,2017-07-01,2017,3.0,JUL,28.0,169.0,197.0,128.0,1074.0,1202.0,16.0,91.0,107.0,0.0,11.0,11.0,3.0,17.0,20.0,2.0,5.0,7.0,9.0,87.0,96.0,2.0,9.0,11.0,12.0,116.0,128.0,0.0,13.0,13.0,83.0,706.0,789.0,1.0,19.0,20.0,283.0,1442.0,1725.0,11.0,67.0,78.0,3.0,15.0,18.0,0.0,11.0,11.0,4.0,27.0,31.0,4.0,10.0,14.0,0.0,4.0,4.0,1390.0,9629.0,11019.0,21.0,177.0,198.0,11.0,55.0,66.0,21.0,78.0,99.0,1.0,22.0,23.0,1526.0,7145.0,8671.0,26.0,203.0,229.0,3446.0,20061.0,23507.0,17.0,82.0,99.0,3.0,44.0,47.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,3.0,0.0,2.0,2.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,2.0,2.0,11.0,56.0,67.0,3.0,14.0,17.0,1.0,3.0,4.0,0.0,2.0,2.0,1.0,3.0,4.0,1.0,4.0,5.0,0.0,2.0,2.0,783.0,4349.0,5132.0,7.0,46.0,53.0,6.0,18.0,24.0,4.0,17.0,21.0,0.0,3.0,3.0,1510.0,7015.0,8525.0,18.0,140.0,158.0,2362.0,11784.0,14146.0,4034,6.0
Modoc,2017-07-01,2017,3.0,JUL,7.0,33.0,40.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,342.0,402.0,1.0,11.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,28.0,7.0,45.0,52.0,78.0,462.0,540.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,25.0,6.0,20.0,26.0,9.0,49.0,58.0,4034,6.0
Mono,2017-07-01,2017,3.0,JUL,2.0,21.0,23.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,282.0,288.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,1.0,49.0,50.0,9.0,384.0,393.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59.0,60.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,1.0,11.0,12.0,2.0,90.0,92.0,4034,6.0
