July 2016 (Accessible sheet). Data table begins in Cell A5. Item descriptions are contained within input messages in Row 5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,,
,,,,,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (Federal),PACF (Fed/State),PACF (State),NACF (Federal),NACF (Fed/State),NACF (State),PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,Federal Persons,State Persons: Single,State Persons: Families,PACF (A),NACF (B),Total (C) ,State Persons: Single,State Persons: Families,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF: Federal,PACF: Fed/State,PACF: State,NACF: Federal,NACF: Fed/State,NACF: State,PACF (A),NACF (B),Total (C) ,PACF: Federal,PACF: Fed/State,PACF: State,NACF: Federal,NACF: Fed/State,NACF: State,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,,
July 2016,1. Applications received during the month,1A. Online applications received during the month,2. Applications disposed of during the month (sum of Items 2a through 2c),2A. Applications approved (Same as Item 5A/Cell 61),2A.1) Applications approved in over 30 days (CWD caused),2A.1) Applications approved in over 30 days (CWD caused),2A.1) Applications approved in over 30 days (CWD caused),2B. Applications denied (Item 2B1 plus Item 2B2),2B. Applications denied (Item 2B1 plus Item 2B2),2B. Applications denied (Item 2B1 plus Item 2B2),2B.1) Applications denied because determined ineligible,2B.1) Applications denied because determined ineligible,2B.1) Applications denied because determined ineligible,2B.2) Applications denied for procedural reasons,2B.2) Applications denied for procedural reasons,2B.2) Applications denied for procedural reasons,2B.C) Applications denied in over 30 days (CWD caused),2B.C) Applications denied in over 30 days (CWD caused),2B.C) Applications denied in over 30 days (CWD caused),2C. Applications withdrawn,2C. Applications withdrawn,2C. Applications withdrawn,"3. Of the applications disposed of during the month in Item 2, applications processed under ES (Item 3A plus Item 3B)","3. Of the applications disposed of during the month in Item 2, applications processed under ES (Item 3A plus Item 3B)","3. Of the applications disposed of during the month in Item 2, applications processed under ES (Item 3A plus Item 3B)",3A. Found entitled to ES (Sum of Items 3A1 through 3A3),3A. Found entitled to ES (Sum of Items 3A1 through 3A3),3A. Found entitled to ES (Sum of Items 3A1 through 3A3),3A.1) Benefits issued in 1-3 days,3A.1) Benefits issued in 1-3 days,3A.1) Benefits issued in 1-3 days,3A.2) Benefits issued in 4-7 days,3A.2) Benefits issued in 4-7 days,3A.2) Benefits issued in 4-7 days,3A.3) Benefits issued in over 7 days,3A.3) Benefits issued in over 7 days,3A.3) Benefits issued in over 7 days,3B. Found not entitled to ES,3B. Found not entitled to ES,3B. Found not entitled to ES,4. Cases brought forward at the beginning of the month,4. Cases brought forward at the beginning of the month,4. Cases brought forward at the beginning of the month,"4A. Item 8 from last month's report, as reported to CDSS","4A. Item 8 from last month's report, as reported to CDSS","4A. Item 8 from last month's report, as reported to CDSS","4B. Adjustment (Item 4 minus Item 4A, positive or negative number, explain in the Item 4B Adjustment Explanation)","4B. Adjustment (Item 4 minus Item 4A, positive or negative number, explain in the Item 4B Adjustment Explanation)","4B. Adjustment (Item 4 minus Item 4A, positive or negative number, explain in the Item 4B Adjustment Explanation)","5. Cases added during the month (Sum of Items 5A through 5E, positive or negative number)","5. Cases added during the month (Sum of Items 5A through 5E, positive or negative number)","5. Cases added during the month (Sum of Items 5A through 5E, positive or negative number)",5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5B. Change in assistance status from PACF or NACF,5B. Change in assistance status from PACF or NACF,5B. Change in assistance status from PACF or NACF,5C. Inter-County Transfers,5C. Inter-County Transfers,5C. Inter-County Transfers,5D. Cases with eligibility reinstated and benefits pro-rated during the month,5D. Cases with eligibility reinstated and benefits pro-rated during the month,5D. Cases with eligibility reinstated and benefits pro-rated during the month,5E. Other Approvals,5E. Other Approvals,5E. Other Approvals,6. Total cases open during the month (Certified eligible to participate during the month) (Item 4 plus Item 5; also sum of Items 6A through 6C),6. Total cases open during the month (Certified eligible to participate during the month) (Item 4 plus Item 5; also sum of Items 6A through 6C),6. Total cases open during the month (Certified eligible to participate during the month) (Item 4 plus Item 5; also sum of Items 6A through 6C),6A. Pure federal cases,6A. Pure federal cases,6A. Pure federal cases,6A.1) Federal persons in Item 6A cases plus federal persons in Item 6B cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6C. Pure state cases,6C. Pure state cases,6C. Pure state cases,6C. Pure state cases,6C. Pure state cases,7. Cases discontinued during the month,7. Cases discontinued during the month,7. Cases discontinued during the month,7A. Households discontinued due to recipient failure to complete application process for ongoing benefits (ES only),7A. Households discontinued due to recipient failure to complete application process for ongoing benefits (ES only),7A. Households discontinued due to recipient failure to complete application process for ongoing benefits (ES only),8. Cases brought forward at the end of the month (Item 6 minus Item 7),8. Cases brought forward at the end of the month (Item 6 minus Item 7),8. Cases brought forward at the end of the month (Item 6 minus Item 7),9. Recertifications disposed of during the month (Item 9A plus Item 9B),9. Recertifications disposed of during the month (Item 9A plus Item 9B),9. Recertifications disposed of during the month (Item 9A plus Item 9B),9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,10. Overdue recertifications (CWD caused) during the month,10. Overdue recertifications (CWD caused) during the month,10. Overdue recertifications (CWD caused) during the month,,
County,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Cell 16,Cell 17,Cell 18,Cell 19,Cell 20,Cell 21,Cell 22,Cell 23,Cell 24,Cell 25,Cell 26,Cell 27,Cell 28,Cell 29,Cell 30,Cell 31,Cell 32,Cell 33,Cell 34,Cell 35,Cell 36,Cell 37,Cell 38,Cell 39,Cell 40,Cell 41,Cell 42,Cell 43,Cell 44,Cell 45,Cell 46,Cell 47,Cell 48,Cell 49,Cell 50,Cell 51,Cell 52,Cell 53,Cell 54,Cell 55,Cell 56,Cell 57,Cell 58,Cell 59,Cell 60,Cell 61,Cell 62,Cell 63,Cell 64,Cell 65,Cell 66,Cell 67,Cell 68,Cell 69,Cell 70,Cell 71,Cell 72,Cell 73,Cell 74,Cell 75,Cell 76,Cell 77,Cell 78,Cell 79,Cell 80,Cell 81,Cell 82,Cell 83,Cell 84,Cell 85,Cell 86,Cell 87,Cell 88,Cell 89,Cell 90,Cell 91,Cell 92,Cell 93,Cell 94,Cell 95,Cell 96,Cell 97,Cell 98,Cell 99,Cell 100,Cell 101,Cell 102,Cell 103,Cell 104,Cell 105,Cell 106,Cell 107,Cell 108,Cell 109,Cell 110,Cell 111,Cell 112,Cell 113,Cell 114,Cell 115,Cell 116,Cell 117,Cell 118,Cell 119,Cell 120,Cell 121,Cell 122,Cell 123,,
Alameda  a/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,88.0,89.0,1.0,88.0,89.0,0.0,0.0,0.0,-1.0,6.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,0.0,94.0,94.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,91.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Amador,38.0,38.0,112.0,71.0,0.0,0.0,0.0,0.0,32.0,32.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,1520.0,1659.0,139.0,1520.0,1659.0,0.0,0.0,0.0,9.0,128.0,137.0,1.0,0.0,0.0,70.0,0.0,0.0,1.0,70.0,71.0,1.0,-1.0,0.0,3.0,7.0,10.0,3.0,15.0,18.0,1.0,37.0,38.0,148.0,1648.0,1796.0,148.0,1646.0,1794.0,3366.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,133.0,149.0,0.0,0.0,0.0,132.0,1515.0,1647.0,10.0,128.0,138.0,9.0,0.0,0.0,125.0,1.0,0.0,9.0,126.0,135.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,,
Butte,1245.0,312.0,1238.0,701.0,3.0,43.0,46.0,0.0,476.0,476.0,0.0,195.0,195.0,0.0,281.0,281.0,0.0,49.0,49.0,0.0,61.0,61.0,27.0,1210.0,1237.0,16.0,476.0,492.0,14.0,448.0,462.0,0.0,19.0,19.0,2.0,9.0,11.0,11.0,734.0,745.0,1696.0,14283.0,15979.0,1696.0,14283.0,15979.0,0.0,0.0,0.0,55.0,1198.0,1253.0,33.0,0.0,0.0,665.0,0.0,3.0,33.0,668.0,701.0,-44.0,44.0,0.0,8.0,32.0,40.0,5.0,115.0,120.0,53.0,339.0,392.0,1751.0,15481.0,17232.0,1740.0,15408.0,17148.0,32455.0,3.0,50.0,10.0,41.0,51.0,33.0,5.0,1.0,32.0,33.0,109.0,1466.0,1575.0,0.0,0.0,0.0,1642.0,14015.0,15657.0,117.0,628.0,745.0,116.0,0.0,0.0,623.0,1.0,1.0,116.0,625.0,741.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,,
Calaveras,195.0,23.0,179.0,140.0,0.0,2.0,2.0,0.0,32.0,32.0,0.0,13.0,13.0,0.0,19.0,19.0,0.0,2.0,2.0,0.0,7.0,7.0,5.0,174.0,179.0,4.0,93.0,97.0,3.0,83.0,86.0,0.0,4.0,4.0,1.0,6.0,7.0,1.0,81.0,82.0,200.0,2379.0,2579.0,200.0,2379.0,2579.0,0.0,0.0,0.0,11.0,245.0,256.0,4.0,0.0,0.0,134.0,1.0,1.0,4.0,136.0,140.0,-3.0,3.0,0.0,3.0,4.0,7.0,3.0,34.0,37.0,4.0,68.0,72.0,211.0,2624.0,2835.0,211.0,2614.0,2825.0,5210.0,0.0,8.0,0.0,6.0,6.0,6.0,0.0,0.0,4.0,4.0,16.0,209.0,225.0,0.0,0.0,0.0,195.0,2415.0,2610.0,24.0,205.0,229.0,24.0,0.0,0.0,205.0,0.0,0.0,24.0,205.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Colusa,61.0,10.0,51.0,26.0,0.0,3.0,3.0,0.0,22.0,22.0,0.0,7.0,7.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,47.0,51.0,2.0,17.0,19.0,2.0,15.0,17.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,30.0,32.0,79.0,509.0,588.0,79.0,509.0,588.0,0.0,0.0,0.0,0.0,58.0,58.0,3.0,0.0,0.0,23.0,0.0,0.0,3.0,23.0,26.0,-5.0,5.0,0.0,0.0,2.0,2.0,0.0,6.0,6.0,2.0,22.0,24.0,79.0,567.0,646.0,78.0,565.0,643.0,1439.0,0.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,51.0,60.0,0.0,0.0,0.0,70.0,516.0,586.0,1.0,16.0,17.0,1.0,0.0,0.0,16.0,0.0,0.0,1.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Contra Costa,2162.0,599.0,1884.0,991.0,7.0,33.0,40.0,1.0,776.0,777.0,1.0,768.0,769.0,0.0,8.0,8.0,0.0,55.0,55.0,0.0,116.0,116.0,29.0,1102.0,1131.0,21.0,433.0,454.0,20.0,421.0,441.0,1.0,10.0,11.0,0.0,2.0,2.0,8.0,669.0,677.0,4004.0,27601.0,31605.0,3978.0,27422.0,31400.0,26.0,179.0,205.0,112.0,2499.0,2611.0,83.0,1.0,0.0,895.0,5.0,7.0,84.0,907.0,991.0,-119.0,119.0,0.0,11.0,71.0,82.0,12.0,45.0,57.0,124.0,1357.0,1481.0,4116.0,30100.0,34216.0,4005.0,29588.0,33593.0,68259.0,36.0,624.0,108.0,356.0,464.0,205.0,9.0,3.0,156.0,159.0,238.0,3420.0,3658.0,0.0,0.0,0.0,3878.0,26680.0,30558.0,298.0,1430.0,1728.0,292.0,4.0,0.0,1369.0,21.0,1.0,296.0,1391.0,1687.0,2.0,0.0,0.0,38.0,1.0,0.0,2.0,39.0,41.0,0.0,6.0,6.0,,
Del Norte,167.0,9.0,172.0,90.0,0.0,0.0,0.0,0.0,79.0,79.0,0.0,36.0,36.0,0.0,43.0,43.0,0.0,1.0,1.0,0.0,3.0,3.0,8.0,164.0,172.0,4.0,61.0,65.0,4.0,54.0,58.0,0.0,5.0,5.0,0.0,2.0,2.0,4.0,103.0,107.0,400.0,2050.0,2450.0,400.0,2050.0,2450.0,0.0,0.0,0.0,-5.0,188.0,183.0,7.0,0.0,0.0,83.0,0.0,0.0,7.0,83.0,90.0,-23.0,23.0,0.0,0.0,4.0,4.0,2.0,14.0,16.0,9.0,64.0,73.0,395.0,2238.0,2633.0,395.0,2237.0,2632.0,5344.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,204.0,228.0,0.0,0.0,0.0,371.0,2034.0,2405.0,29.0,103.0,132.0,29.0,0.0,0.0,102.0,0.0,0.0,29.0,102.0,131.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,
El Dorado,531.0,79.0,556.0,345.0,1.0,9.0,10.0,0.0,200.0,200.0,0.0,66.0,66.0,0.0,134.0,134.0,0.0,4.0,4.0,0.0,11.0,11.0,12.0,544.0,556.0,6.0,249.0,255.0,6.0,246.0,252.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,295.0,301.0,539.0,6277.0,6816.0,539.0,6278.0,6817.0,0.0,-1.0,-1.0,31.0,550.0,581.0,13.0,0.0,0.0,331.0,0.0,1.0,13.0,332.0,345.0,1.0,-1.0,0.0,2.0,19.0,21.0,2.0,44.0,46.0,13.0,156.0,169.0,570.0,6827.0,7397.0,569.0,6787.0,7356.0,13053.0,3.0,35.0,1.0,31.0,32.0,11.0,0.0,0.0,9.0,9.0,43.0,636.0,679.0,0.0,0.0,0.0,527.0,6191.0,6718.0,32.0,260.0,292.0,32.0,0.0,0.0,258.0,1.0,0.0,32.0,259.0,291.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,
Fresno,4250.0,1691.0,3966.0,2796.0,17.0,110.0,127.0,6.0,1081.0,1087.0,6.0,1077.0,1083.0,0.0,4.0,4.0,2.0,219.0,221.0,0.0,83.0,83.0,65.0,3218.0,3283.0,28.0,1344.0,1372.0,24.0,1290.0,1314.0,3.0,43.0,46.0,1.0,11.0,12.0,37.0,1874.0,1911.0,12395.0,79228.0,91623.0,12039.0,76455.0,88494.0,356.0,2773.0,3129.0,-22.0,2899.0,2877.0,192.0,3.0,0.0,2551.0,20.0,30.0,195.0,2601.0,2796.0,-234.0,234.0,0.0,9.0,18.0,27.0,4.0,13.0,17.0,4.0,33.0,37.0,12373.0,82127.0,94500.0,12176.0,81241.0,93417.0,217394.0,62.0,932.0,184.0,673.0,857.0,254.0,29.0,13.0,213.0,226.0,697.0,6902.0,7599.0,0.0,30.0,30.0,11676.0,75225.0,86901.0,1031.0,5348.0,6379.0,911.0,26.0,0.0,4381.0,39.0,15.0,937.0,4435.0,5372.0,92.0,2.0,0.0,893.0,18.0,2.0,94.0,913.0,1007.0,4.0,31.0,35.0,,
