,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,271986.0,3898.0,231.0,518029.0,8097.0,4248.0,790015.0,11995.0,4479.0,688991.0,1264638.0,1953629.0,8826.0,4807.0,22755.0,9509.0,31581.0,14316.0,449.0,5709.0,6158.0,0.0,0.0,0.0,890400.0,890400.0,2.0,198766537.95,1755269.29,200521807.24
Alameda  ,14268.0,443.0,122.0,15892.0,126.0,50.0,30160.0,569.0,172.0,35117.0,31550.0,66667.0,1178.0,332.0,471.0,57.0,1649.0,389.0,281.0,61.0,342.0,0.0,0.0,0.0,30901.0,30901.0,0.0,6541178.0,59944.0,6601122.0
Alpine,3.0,0.0,0.0,30.0,0.0,0.0,33.0,0.0,0.0,5.0,68.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,6596.0,0.0,6596.0
Amador,154.0,0.0,0.0,370.0,0.0,0.0,524.0,0.0,0.0,424.0,736.0,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,586.0,0.0,121571.0,0.0,121571.0
Butte ,1972.0,1.0,1.0,5438.0,6.0,6.0,7410.0,7.0,7.0,5194.0,12647.0,17841.0,1.0,1.0,14.0,7.0,15.0,8.0,1.0,9.0,10.0,0.0,0.0,0.0,8147.0,8147.0,0.0,1769410.0,1278.0,1770688.0
Calaveras,200.0,0.0,0.0,564.0,0.0,0.0,764.0,0.0,0.0,525.0,1173.0,1698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,764.0,0.0,173374.0,0.0,173374.0
Colusa,84.0,0.0,0.0,407.0,8.0,7.0,491.0,8.0,7.0,273.0,1126.0,1399.0,0.0,0.0,23.0,8.0,23.0,8.0,0.0,10.0,10.0,0.0,0.0,0.0,543.0,543.0,0.0,117367.0,1350.0,118717.0
Contra Costa  ,5407.0,26.0,1.0,7533.0,77.0,32.0,12940.0,103.0,33.0,13189.0,17681.0,30870.0,56.0,27.0,182.0,114.0,238.0,141.0,1.0,48.0,49.0,0.0,0.0,0.0,14922.0,14922.0,0.0,3154525.0,20684.0,3175209.0
Del Norte,492.0,0.0,0.0,1218.0,4.0,1.0,1710.0,4.0,1.0,1410.0,2489.0,3899.0,0.0,0.0,14.0,5.0,14.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1715.0,1715.0,0.0,385627.0,430.0,386057.0
El Dorado,550.0,0.0,0.0,1320.0,10.0,5.0,1870.0,10.0,5.0,1417.0,2731.0,4148.0,0.0,0.0,28.0,13.0,28.0,13.0,0.0,7.0,7.0,0.0,0.0,0.0,2104.0,2104.0,0.0,432375.0,1556.0,433931.0
Fresno,14759.0,44.0,0.0,25712.0,190.0,7.0,40471.0,234.0,7.0,41516.0,76662.0,118178.0,128.0,51.0,689.0,201.0,817.0,252.0,0.0,9.0,9.0,0.0,0.0,0.0,44751.0,44751.0,0.0,11385772.0,16646.0,11402418.0
Glenn  ,234.0,0.0,0.0,634.0,1.0,0.0,868.0,1.0,0.0,651.0,1726.0,2377.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,974.0,974.0,0.0,215103.4,99.6,215203.0
Humboldt,1147.0,2.0,0.0,3746.0,8.0,4.0,4893.0,10.0,4.0,2899.0,7609.0,10508.0,7.0,2.0,17.0,8.0,24.0,10.0,0.0,5.0,5.0,0.0,0.0,0.0,3760.0,3760.0,0.0,1083646.0,892.0,1084538.0
Imperial,1355.0,0.0,0.0,4267.0,103.0,16.0,5622.0,103.0,16.0,3942.0,12018.0,15960.0,0.0,0.0,286.0,104.0,286.0,104.0,0.0,16.0,16.0,0.0,0.0,0.0,5741.0,5741.0,0.0,1547036.0,6558.0,1553594.0
Inyo,92.0,0.0,0.0,359.0,0.0,0.0,451.0,0.0,0.0,256.0,737.0,993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0,457.0,0.0,87604.0,0.0,87604.0
Kern ,6524.0,2.0,0.0,21037.0,221.0,58.0,27561.0,223.0,58.0,18490.0,58902.0,77392.0,3.0,2.0,662.0,240.0,665.0,242.0,0.0,75.0,75.0,0.0,0.0,0.0,29966.0,29966.0,0.0,7364971.0,32864.0,7397835.0
Kings,1151.0,1.0,0.0,4321.0,29.0,7.0,5472.0,30.0,7.0,3263.0,10812.0,14075.0,4.0,1.0,76.0,32.0,80.0,33.0,0.0,7.0,7.0,0.0,0.0,0.0,5867.0,5867.0,0.0,1312036.0,2851.0,1314887.0
Lake,893.0,1.0,0.0,1401.0,1.0,1.0,2294.0,2.0,1.0,1689.0,3524.0,5213.0,2.0,1.0,5.0,1.0,7.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2522.0,2522.0,0.0,526491.0,243.0,526734.0
Lassen  ,260.0,0.0,0.0,585.0,3.0,0.0,845.0,3.0,0.0,754.0,1387.0,2141.0,0.0,0.0,4.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,904.0,904.0,0.0,209052.0,373.0,209425.0
Los Angeles,81290.0,1787.0,26.0,189079.0,3666.0,1899.0,270369.0,5453.0,1925.0,183716.0,436707.0,620423.0,3722.0,2137.0,10149.0,4310.0,13871.0,6447.0,35.0,2314.0,2349.0,0.0,0.0,0.0,317276.0,317276.0,0.0,67110385.0,785742.0,67896127.0
Madera,1042.0,0.0,0.0,4441.0,27.0,2.0,5483.0,27.0,2.0,2991.0,11341.0,14332.0,0.0,0.0,89.0,27.0,89.0,27.0,0.0,2.0,2.0,0.0,0.0,0.0,5928.0,5928.0,0.0,1386776.0,1417.0,1388193.0
Marin,514.0,2.0,0.0,1824.0,24.0,9.0,2338.0,26.0,9.0,1222.0,2945.0,4167.0,3.0,2.0,54.0,33.0,57.0,35.0,0.0,9.0,9.0,0.0,0.0,0.0,2388.0,2388.0,0.0,421560.0,2595.0,424155.0
Mariposa,101.0,0.0,0.0,278.0,0.0,0.0,379.0,0.0,0.0,275.0,595.0,870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,419.0,0.0,85901.0,0.0,85901.0
Mendocino,813.0,1.0,0.0,2967.0,12.0,2.0,3780.0,13.0,2.0,2134.0,5763.0,7897.0,3.0,1.0,37.0,13.0,40.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,4003.0,4003.0,0.0,813562.0,1093.0,814655.0
Merced,4610.0,27.0,0.0,5850.0,48.0,5.0,10460.0,75.0,5.0,12804.0,16855.0,29659.0,78.0,27.0,174.0,56.0,252.0,83.0,0.0,6.0,6.0,0.0,0.0,0.0,11396.0,11396.0,0.0,2783418.0,5917.0,2789335.0
Modoc,110.0,0.0,0.0,238.0,1.0,0.0,348.0,1.0,0.0,313.0,535.0,848.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,348.0,0.0,78104.0,3.0,78107.0
Mono,19.0,0.0,0.0,97.0,0.0,0.0,116.0,0.0,0.0,45.0,183.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,127.0,0.0,20541.0,0.0,20541.0
Monterey ,1929.0,0.0,0.0,5632.0,98.0,6.0,7561.0,98.0,6.0,5134.0,13646.0,18780.0,0.0,0.0,325.0,108.0,325.0,108.0,0.0,7.0,7.0,0.0,0.0,0.0,8253.0,8253.0,0.0,1811580.0,2269.0,1813849.0
Napa  ,253.0,0.0,0.0,918.0,16.0,2.0,1171.0,16.0,2.0,660.0,2059.0,2719.0,0.0,0.0,49.0,20.0,49.0,20.0,0.0,3.0,3.0,0.0,0.0,0.0,1189.0,1189.0,0.0,274990.0,2408.0,277398.0
Nevada,283.0,0.0,0.0,779.0,0.0,0.0,1062.0,0.0,0.0,731.0,1625.0,2356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1163.0,1163.0,0.0,245836.0,0.0,245836.0
Orange  a/,10313.0,51.0,0.0,19034.0,368.0,234.0,29347.0,419.0,234.0,28021.0,49027.0,77048.0,101.0,59.0,904.0,464.0,1005.0,523.0,0.0,303.0,303.0,0.0,0.0,0.0,33220.0,33220.0,0.0,7365412.0,76729.0,7442141.0
Placer,905.0,12.0,0.0,1589.0,10.0,3.0,2494.0,22.0,3.0,2392.0,3587.0,5979.0,39.0,16.0,26.0,18.0,65.0,34.0,0.0,3.0,3.0,0.0,0.0,0.0,2836.0,2836.0,0.0,615121.0,2146.0,617267.0
Plumas,82.0,0.0,0.0,182.0,0.0,0.0,264.0,0.0,0.0,192.0,433.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,291.0,0.0,55576.0,0.0,55576.0
Riverside,12272.0,94.0,3.0,14797.0,270.0,70.0,27069.0,364.0,73.0,33393.0,43842.0,77235.0,268.0,96.0,913.0,300.0,1181.0,396.0,4.0,90.0,94.0,0.0,0.0,0.0,30054.0,30054.0,0.0,7379751.0,36817.0,7416568.0
Sacramento,17343.0,595.0,6.0,24343.0,411.0,187.0,41686.0,1006.0,193.0,46801.0,64930.0,111731.0,1432.0,953.0,1173.0,633.0,2605.0,1586.0,8.0,262.0,270.0,0.0,0.0,0.0,46367.0,46367.0,0.0,11631333.0,148402.0,11779735.0
San Benito,346.0,0.0,0.0,867.0,8.0,1.0,1213.0,8.0,1.0,993.0,1822.0,2815.0,0.0,0.0,22.0,11.0,22.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,1222.0,1222.0,2.0,300754.0,462.0,301216.0
San Bernardino,19164.0,162.0,3.0,26448.0,442.0,204.0,45612.0,604.0,207.0,52759.0,79582.0,132341.0,417.0,169.0,1339.0,493.0,1756.0,662.0,5.0,269.0,274.0,0.0,0.0,0.0,51573.0,51573.0,0.0,13025886.0,79727.0,13105613.0
San Diego,14260.0,150.0,2.0,16196.0,265.0,189.0,30456.0,415.0,191.0,38335.0,43887.0,82222.0,330.0,162.0,686.0,298.0,1016.0,460.0,2.0,236.0,238.0,0.0,0.0,0.0,33857.0,33857.0,0.0,7909633.0,66023.0,7975656.0
San Francisco ,3450.0,49.0,1.0,16090.0,177.0,408.0,19540.0,226.0,409.0,8016.0,23043.0,31059.0,96.0,59.0,377.0,236.0,473.0,295.0,1.0,553.0,554.0,0.0,0.0,0.0,21783.0,21783.0,0.0,3357916.0,90425.0,3448341.0
San Joaquin,5661.0,10.0,0.0,13721.0,213.0,67.0,19382.0,223.0,67.0,15485.0,37325.0,52810.0,22.0,11.0,464.0,213.0,486.0,224.0,0.0,96.0,96.0,0.0,0.0,0.0,21057.0,21057.0,0.0,5243704.0,11878.0,5255582.0
San Luis Obispo,1601.0,4.0,0.0,1805.0,16.0,7.0,3406.0,20.0,7.0,3482.0,2837.0,6319.0,12.0,4.0,24.0,16.0,36.0,20.0,0.0,8.0,8.0,0.0,0.0,0.0,3568.0,3568.0,0.0,680295.0,2440.0,682735.0
San Mateo,1551.0,21.0,1.0,2273.0,38.0,13.0,3824.0,59.0,14.0,3681.0,4937.0,8618.0,50.0,27.0,106.0,41.0,156.0,68.0,4.0,19.0,23.0,0.0,0.0,0.0,4316.0,4316.0,0.0,851575.0,7104.0,858679.0
Santa Barbara  ,3812.0,14.0,0.0,4321.0,57.0,10.0,8133.0,71.0,10.0,8416.0,9814.0,18230.0,14.0,14.0,111.0,65.0,125.0,79.0,0.0,17.0,17.0,0.0,0.0,0.0,8972.0,8972.0,0.0,1847354.0,7355.0,1854709.0
Santa Clara  ,9662.0,167.0,3.0,14886.0,355.0,501.0,24548.0,522.0,504.0,24712.0,33539.0,58251.0,351.0,219.0,796.0,476.0,1147.0,695.0,5.0,735.0,740.0,0.0,0.0,0.0,28577.0,28577.0,0.0,5836490.0,157342.0,5993832.0
Santa Cruz ,1529.0,7.0,1.0,3534.0,67.0,13.0,5063.0,74.0,14.0,3564.0,7248.0,10812.0,15.0,8.0,215.0,72.0,230.0,80.0,1.0,17.0,18.0,0.0,0.0,0.0,5833.0,5833.0,0.0,1137933.0,7295.0,1145228.0
Shasta,1583.0,0.0,0.0,4013.0,4.0,2.0,5596.0,4.0,2.0,3910.0,9267.0,13177.0,0.0,0.0,10.0,4.0,10.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,6104.0,6104.0,0.0,1278239.0,763.0,1279002.0
Sierra,24.0,0.0,0.0,54.0,0.0,0.0,78.0,0.0,0.0,69.0,115.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,85.0,0.0,17220.0,0.0,17220.0
Siskiyou,498.0,0.0,0.0,1210.0,5.0,2.0,1708.0,5.0,2.0,1348.0,2604.0,3952.0,0.0,0.0,18.0,6.0,18.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,1840.0,1840.0,0.0,387449.0,351.0,387800.0
Solano  b/,3329.0,23.0,1.0,4549.0,41.0,20.0,7878.0,64.0,21.0,8440.0,10115.0,18555.0,62.0,28.0,111.0,44.0,173.0,72.0,1.0,43.0,44.0,0.0,0.0,0.0,8897.0,8897.0,0.0,1894843.0,10761.0,1905604.0
Sonoma  ,1903.0,12.0,0.0,4239.0,27.0,22.0,6142.0,39.0,22.0,4433.0,8335.0,12768.0,31.0,12.0,81.0,30.0,112.0,42.0,0.0,32.0,32.0,0.0,0.0,0.0,6925.0,6925.0,0.0,1330725.85,7632.15,1338358.0
Stanislaus,5989.0,40.0,1.0,8696.0,83.0,5.0,14685.0,123.0,6.0,15378.0,22910.0,38288.0,97.0,46.0,275.0,100.0,372.0,146.0,1.0,6.0,7.0,0.0,0.0,0.0,16484.0,16484.0,0.0,3835357.0,9061.0,3844418.0
Sutter,518.0,1.0,0.0,1589.0,9.0,1.0,2107.0,10.0,1.0,1462.0,4170.0,5632.0,5.0,2.0,19.0,12.0,24.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,2276.0,2276.0,0.0,536998.0,1051.0,538049.0
Tehama,616.0,4.0,0.0,1433.0,18.0,2.0,2049.0,22.0,2.0,1634.0,3514.0,5148.0,12.0,4.0,56.0,21.0,68.0,25.0,0.0,3.0,3.0,0.0,0.0,0.0,2257.0,2257.0,0.0,497706.0,2361.0,500067.0
Trinity,108.0,0.0,0.0,305.0,1.0,0.0,413.0,1.0,0.0,279.0,710.0,989.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,414.0,0.0,96053.0,54.0,96107.0
Tulare,8338.0,100.0,56.0,12698.0,376.0,115.0,21036.0,476.0,171.0,23109.0,33036.0,56145.0,169.0,271.0,1271.0,404.0,1440.0,675.0,85.0,217.0,302.0,0.0,0.0,0.0,23941.0,23941.0,0.0,5674708.0,35429.0,5710137.0
Tuolumne,373.0,0.0,0.0,885.0,0.0,0.0,1258.0,0.0,0.0,1067.0,1894.0,2961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360.0,1360.0,0.0,268889.0,0.0,268889.0
Ventura  b/,4170.0,12.0,3.0,7088.0,100.0,18.0,11258.0,112.0,21.0,10894.0,15585.0,26479.0,33.0,17.0,241.0,118.0,274.0,135.0,14.0,151.0,165.0,0.0,0.0,0.0,12047.0,12047.0,0.0,2607341.0,29714.0,2637055.0
Yolo  ,1262.0,33.0,0.0,2153.0,55.0,31.0,3415.0,88.0,31.0,3244.0,5106.0,8350.0,85.0,46.0,157.0,69.0,242.0,115.0,0.0,44.0,44.0,0.0,0.0,0.0,3964.0,3964.0,0.0,866852.7,16058.54,882911.24
Yuba,815.0,0.0,0.0,2094.0,2.0,4.0,2909.0,2.0,4.0,2443.0,5592.0,8035.0,0.0,0.0,5.0,2.0,5.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,3131.0,3131.0,0.0,769036.0,676.0,769712.0
,a/  County now reporting data:  Orange.,,,,,,,,,a/  County now reporting data:  Orange.,,,,,,,,,a/  County now reporting data:  Orange.,,,,,,,,,a/  County now reporting data:  Orange.,,
,b/  Counties reporting revised data:  Solano and Ventura.,,,,,,,,,b/  Counties reporting revised data:  Solano and Ventura.,,,,,,,,,b/  Counties reporting revised data:  Solano and Ventura.,,,,,,,,,b/  Counties reporting revised data:  Solano and Ventura.,,
