county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail_ebt,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
California,309615.0,5804.0,947.0,369789.0,8874.0,5459.0,679404.0,14678.0,6406.0,841145.0,887568.0,1728713.0,13628.0,7209.0,24190.0,11698.0,37818.0,18907.0,2907.0,8086.0,10993.0,168163.0,410592.0,173449.0,752204.0,149185605.0,3405204.0,948477.0,1204347.0,152590809.0,2152824.0,154743633.0,2003,JUN,700488.0,0,2.0,2003-06-01
Los Angeles,101784.0,2249.0,540.0,157475.0,3874.0,2949.0,259259.0,6123.0,3489.0,247934.0,362655.0,610589.0,5017.0,2671.0,10857.0,4874.0,15874.0,7545.0,1655.0,4287.0,5942.0,0.0,288893.0,0.0,288893.0,56747590.0,1516266.0,411737.0,679170.0,58263856.0,1090907.0,59354763.0,2003,JUN,268871.0,1,2.0,2003-06-01
San Bernardino,24045.0,163.0,14.0,19428.0,342.0,214.0,43473.0,505.0,228.0,70638.0,51863.0,122501.0,419.0,188.0,1057.0,415.0,1476.0,603.0,43.0,319.0,362.0,0.0,0.0,49306.0,49306.0,10476813.0,134350.0,28389.0,45898.0,10611163.0,74287.0,10685450.0,2003,JUN,44206.0,1,2.0,2003-06-01
Sacramento,18098.0,322.0,198.0,16911.0,218.0,259.0,35009.0,540.0,457.0,56274.0,44609.0,100883.0,736.0,610.0,611.0,419.0,1347.0,1029.0,725.0,520.0,1245.0,4773.0,32497.0,0.0,37270.0,8146175.0,124316.0,49041.0,96099.0,8270491.0,145140.0,8415631.0,2003,JUN,36006.0,1,2.0,2003-06-01
Fresno,19983.0,208.0,4.0,11084.0,225.0,29.0,31067.0,433.0,33.0,66581.0,28400.0,94981.0,622.0,241.0,656.0,298.0,1278.0,539.0,14.0,58.0,72.0,0.0,7338.0,34563.0,41901.0,7711392.0,61738.0,24798.0,5253.0,7773130.0,30051.0,7803181.0,2003,JUN,31533.0,1,2.0,2003-06-01
San Diego,15240.0,420.0,31.0,12049.0,390.0,205.0,27289.0,810.0,236.0,42149.0,32782.0,74931.0,990.0,481.0,1018.0,473.0,2008.0,954.0,90.0,320.0,410.0,30375.0,0.0,447.0,30822.0,5927042.0,173736.0,54077.0,42316.0,6100778.0,96393.0,6197171.0,2003,JUN,28335.0,1,2.0,2003-06-01
Orange,12132.0,166.0,21.0,15198.0,400.0,122.0,27330.0,566.0,143.0,31207.0,39740.0,70947.0,307.0,193.0,909.0,490.0,1216.0,683.0,59.0,197.0,256.0,0.0,0.0,28911.0,28911.0,5519898.0,136369.0,37808.0,27527.0,5656267.0,65335.0,5721602.0,2003,JUN,28039.0,1,2.0,2003-06-01
Alameda,13346.0,159.0,0.0,9028.0,105.0,193.0,22374.0,264.0,193.0,34166.0,23112.0,57278.0,315.0,163.0,269.0,160.0,584.0,323.0,0.0,251.0,251.0,0.0,22831.0,0.0,22831.0,4465729.0,33928.0,18765.0,38522.0,4499657.0,57287.0,4556944.0,2003,JUN,22831.0,0,2.0,2003-06-01
Riverside,14196.0,196.0,36.0,7468.0,249.0,247.0,21664.0,445.0,283.0,39793.0,16571.0,56364.0,553.0,199.0,683.0,306.0,1236.0,505.0,64.0,102.0,166.0,0.0,0.0,24494.0,24494.0,5073039.0,112531.0,26406.0,51184.0,5185570.0,77590.0,5263160.0,2003,JUN,22392.0,0,2.0,2003-06-01
Kern,7096.0,186.0,2.0,11937.0,571.0,61.0,19033.0,757.0,63.0,20515.0,34992.0,55507.0,533.0,216.0,1525.0,670.0,2058.0,886.0,2.0,26.0,28.0,5737.0,18197.0,0.0,23934.0,5165031.0,198008.0,34701.0,9863.0,5363039.0,44564.0,5407603.0,2003,JUN,19853.0,0,2.0,2003-06-01
Santa Clara,9323.0,107.0,13.0,9606.0,206.0,230.0,18929.0,313.0,243.0,24874.0,21495.0,46369.0,206.0,121.0,407.0,261.0,613.0,382.0,35.0,416.0,451.0,19845.0,0.0,0.0,19845.0,3922762.0,62132.0,27721.0,50611.0,3984894.0,78332.0,4063226.0,2003,JUN,19485.0,0,2.0,2003-06-01
San Francisco,4850.0,162.0,47.0,12705.0,177.0,367.0,17555.0,339.0,414.0,12593.0,15809.0,28402.0,235.0,201.0,231.0,247.0,466.0,448.0,124.0,522.0,646.0,0.0,18087.0,0.0,18087.0,2529247.0,58477.0,21128.0,52931.0,2587724.0,74059.0,2661783.0,2003,JUN,18308.0,0,2.0,2003-06-01
Tulare,9965.0,308.0,5.0,6181.0,392.0,88.0,16146.0,700.0,93.0,30794.0,15113.0,45907.0,566.0,602.0,815.0,904.0,1381.0,1506.0,10.0,419.0,429.0,18726.0,0.0,0.0,18726.0,3650896.0,164524.0,39743.0,15115.0,3815420.0,54858.0,3870278.0,2003,JUN,16939.0,0,2.0,2003-06-01
San Joaquin,6394.0,57.0,1.0,9090.0,142.0,22.0,15484.0,199.0,23.0,18937.0,26194.0,45131.0,188.0,66.0,443.0,185.0,631.0,251.0,1.0,37.0,38.0,16957.0,0.0,0.0,16957.0,3753915.0,35853.0,13223.0,4637.0,3789768.0,17860.0,3807628.0,2003,JUN,15706.0,0,2.0,2003-06-01
Stanislaus,5569.0,69.0,3.0,5573.0,149.0,45.0,11142.0,218.0,48.0,16182.0,16213.0,32395.0,165.0,83.0,477.0,207.0,642.0,290.0,8.0,77.0,85.0,0.0,0.0,11936.0,11936.0,2609430.0,53340.0,14020.0,8886.0,2662770.0,22906.0,2685676.0,2003,JUN,11408.0,0,2.0,2003-06-01
Contra Costa,6190.0,204.0,5.0,2914.0,69.0,40.0,9104.0,273.0,45.0,17029.0,5947.0,22976.0,599.0,233.0,191.0,130.0,790.0,363.0,12.0,61.0,73.0,10025.0,0.0,0.0,10025.0,1805306.0,65474.0,12622.0,7136.0,1870780.0,19758.0,1890538.0,2003,JUN,9422.0,0,2.0,2003-06-01
Ventura,3669.0,42.0,9.0,4751.0,102.0,51.0,8420.0,144.0,60.0,10161.0,11453.0,21614.0,97.0,46.0,270.0,133.0,367.0,179.0,29.0,76.0,105.0,9235.0,0.0,0.0,9235.0,1723894.0,0.0,0.0,18876.0,1723894.0,18876.0,1742770.0,2003,JUN,8624.0,0,2.0,2003-06-01
Merced,3484.0,63.0,0.0,4743.0,100.0,8.0,8227.0,163.0,8.0,9678.0,16538.0,26216.0,193.0,72.0,382.0,122.0,575.0,194.0,0.0,8.0,8.0,0.0,8398.0,0.0,8398.0,1962380.0,28550.0,23397.0,938.0,1990930.0,24335.0,2015265.0,2003,JUN,8398.0,0,2.0,2003-06-01
Santa Barbara,3178.0,95.0,5.0,2938.0,97.0,28.0,6116.0,192.0,33.0,6734.0,7446.0,14180.0,203.0,100.0,273.0,134.0,476.0,234.0,9.0,45.0,54.0,6816.0,0.0,0.0,6816.0,1158552.0,36483.0,8457.0,6178.0,1195035.0,14635.0,1209670.0,2003,JUN,6341.0,0,2.0,2003-06-01
Monterey,2115.0,123.0,0.0,3735.0,169.0,17.0,5850.0,292.0,17.0,5964.0,9524.0,15488.0,311.0,132.0,502.0,185.0,813.0,317.0,0.0,19.0,19.0,6192.0,0.0,402.0,6594.0,1165358.0,79576.0,13486.0,2865.0,1244934.0,16351.0,1261285.0,2003,JUN,6159.0,0,2.0,2003-06-01
Butte,2329.0,18.0,0.0,3486.0,50.0,6.0,5815.0,68.0,6.0,6571.0,8567.0,15138.0,72.0,21.0,242.0,73.0,314.0,94.0,0.0,7.0,7.0,6407.0,0.0,0.0,6407.0,1263949.0,23441.0,6508.0,686.0,1287390.0,7194.0,1294584.0,2003,JUN,5889.0,0,2.0,2003-06-01
Imperial,1595.0,146.0,2.0,3372.0,328.0,62.0,4967.0,474.0,64.0,4880.0,9851.0,14731.0,354.0,160.0,968.0,392.0,1322.0,552.0,2.0,67.0,69.0,296.0,0.0,5726.0,6022.0,1153960.0,103958.0,20735.0,7506.0,1257918.0,28241.0,1286159.0,2003,JUN,5505.0,0,2.0,2003-06-01
Solano,3152.0,7.0,3.0,1868.0,3.0,20.0,5020.0,10.0,23.0,8989.0,3600.0,12589.0,19.0,10.0,11.0,3.0,30.0,13.0,11.0,26.0,37.0,0.0,0.0,5599.0,5599.0,1039576.0,1217.0,652.0,3324.0,1040793.0,3976.0,1044769.0,2003,JUN,5053.0,0,2.0,2003-06-01
Madera,1335.0,11.0,0.0,3556.0,24.0,3.0,4891.0,35.0,3.0,4057.0,9164.0,13221.0,33.0,11.0,84.0,26.0,117.0,37.0,0.0,3.0,3.0,71.0,5101.0,0.0,5172.0,1091738.0,6184.0,1379.0,535.0,1097922.0,1914.0,1099836.0,2003,JUN,4929.0,0,2.0,2003-06-01
Sonoma,1757.0,3.0,0.0,2741.0,20.0,7.0,4498.0,23.0,7.0,4174.0,5274.0,9448.0,3.0,4.0,41.0,30.0,44.0,34.0,0.0,10.0,10.0,4910.0,0.0,0.0,4910.0,810277.0,7626.0,2287.0,871.0,817903.0,3158.0,821061.0,2003,JUN,4528.0,0,2.0,2003-06-01
Kings,1307.0,36.0,1.0,2813.0,81.0,26.0,4120.0,117.0,27.0,3790.0,7397.0,11187.0,99.0,41.0,248.0,91.0,347.0,132.0,1.0,26.0,27.0,58.0,4432.0,0.0,4490.0,870551.0,29189.0,5552.0,3179.0,899740.0,8731.0,908471.0,2003,JUN,4264.0,0,2.0,2003-06-01
Shasta,1578.0,18.0,0.0,2573.0,61.0,5.0,4151.0,79.0,5.0,4121.0,5749.0,9870.0,59.0,21.0,186.0,73.0,245.0,94.0,0.0,6.0,6.0,5012.0,0.0,174.0,5186.0,922771.0,20735.0,5016.0,327.0,943506.0,5343.0,948849.0,2003,JUN,4235.0,0,2.0,2003-06-01
Santa Cruz,1393.0,44.0,0.0,2450.0,36.0,6.0,3843.0,80.0,6.0,3213.0,5203.0,8416.0,75.0,47.0,36.0,42.0,111.0,89.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,720609.0,17349.0,5915.0,791.0,737958.0,6706.0,744664.0,2003,JUN,3929.0,0,2.0,2003-06-01
Humboldt,1161.0,7.0,0.0,2726.0,7.0,0.0,3887.0,14.0,0.0,3040.0,5532.0,8572.0,24.0,8.0,32.0,7.0,56.0,15.0,0.0,0.0,0.0,131.0,3773.0,487.0,4391.0,781338.0,5104.0,1367.0,0.0,786442.0,1367.0,787809.0,2003,JUN,3901.0,0,2.0,2003-06-01
Yolo,1787.0,48.0,5.0,1260.0,25.0,23.0,3047.0,73.0,28.0,5252.0,2605.0,7857.0,100.0,72.0,50.0,34.0,150.0,106.0,11.0,48.0,59.0,0.0,0.0,3148.0,3148.0,649653.0,17650.0,6634.0,5737.0,667303.0,12371.0,679674.0,2003,JUN,3148.0,0,2.0,2003-06-01
San Mateo,1347.0,21.0,1.0,1651.0,36.0,16.0,2998.0,57.0,17.0,3223.0,3427.0,6650.0,64.0,21.0,73.0,36.0,137.0,57.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,635013.0,10291.0,8232.0,2974.0,645304.0,11206.0,656510.0,2003,JUN,3072.0,0,2.0,2003-06-01
Mendocino,826.0,5.0,0.0,1996.0,5.0,6.0,2822.0,10.0,6.0,2220.0,4093.0,6313.0,11.0,6.0,13.0,5.0,24.0,11.0,0.0,7.0,7.0,1077.0,0.0,1927.0,3004.0,516826.0,1893.0,906.0,666.0,518719.0,1572.0,520291.0,2003,JUN,2838.0,0,2.0,2003-06-01
San Luis Obispo,1116.0,9.0,0.0,1512.0,26.0,11.0,2628.0,35.0,11.0,2749.0,3290.0,6039.0,14.0,13.0,56.0,35.0,70.0,48.0,0.0,9.0,9.0,2980.0,0.0,0.0,2980.0,499280.0,7133.0,2038.0,1019.0,506413.0,3057.0,509470.0,2003,JUN,2674.0,0,2.0,2003-06-01
Yuba,1092.0,43.0,1.0,1337.0,41.0,12.0,2429.0,84.0,13.0,3309.0,3569.0,6878.0,243.0,52.0,210.0,54.0,453.0,106.0,2.0,12.0,14.0,2240.0,0.0,539.0,2779.0,566766.0,28990.0,6575.0,2346.0,595756.0,8921.0,604677.0,2003,JUN,2526.0,0,2.0,2003-06-01
Tehama,696.0,0.0,0.0,1246.0,2.0,1.0,1942.0,2.0,1.0,1749.0,2897.0,4646.0,0.0,0.0,7.0,2.0,7.0,2.0,0.0,1.0,1.0,1940.0,0.0,0.0,1940.0,374171.0,415.0,117.0,319.0,374586.0,436.0,375022.0,2003,JUN,1945.0,0,2.0,2003-06-01
Lake,716.0,3.0,0.0,1166.0,5.0,1.0,1882.0,8.0,1.0,1925.0,2560.0,4485.0,9.0,3.0,12.0,7.0,21.0,10.0,0.0,1.0,1.0,459.0,0.0,1794.0,2253.0,419313.0,1308.0,495.0,139.0,420621.0,634.0,421255.0,2003,JUN,1891.0,0,2.0,2003-06-01
Placer,823.0,10.0,0.0,938.0,8.0,1.0,1761.0,18.0,1.0,2104.0,2100.0,4204.0,23.0,20.0,30.0,21.0,53.0,41.0,0.0,1.0,1.0,834.0,0.0,1108.0,1942.0,355702.0,3813.0,2387.0,136.0,359515.0,2523.0,362038.0,2003,JUN,1780.0,0,2.0,2003-06-01
Marin,403.0,43.0,0.0,1159.0,53.0,39.0,1562.0,96.0,39.0,944.0,1821.0,2765.0,84.0,43.0,67.0,53.0,151.0,96.0,0.0,40.0,40.0,1985.0,0.0,0.0,1985.0,261950.0,14412.0,5428.0,4636.0,276362.0,10064.0,286426.0,2003,JUN,1697.0,0,2.0,2003-06-01
El Dorado,572.0,6.0,0.0,1080.0,10.0,5.0,1652.0,16.0,5.0,1515.0,2093.0,3608.0,9.0,6.0,21.0,11.0,30.0,17.0,0.0,5.0,5.0,1810.0,51.0,0.0,1861.0,310784.0,3382.0,1074.0,615.0,314166.0,1689.0,315855.0,2003,JUN,1673.0,0,2.0,2003-06-01
Sutter,490.0,5.0,0.0,1090.0,20.0,2.0,1580.0,25.0,2.0,1430.0,2930.0,4360.0,20.0,6.0,72.0,24.0,92.0,30.0,0.0,3.0,3.0,1305.0,0.0,410.0,1715.0,354418.0,7196.0,1226.0,20.0,361614.0,1246.0,362860.0,2003,JUN,1607.0,0,2.0,2003-06-01
Siskiyou,482.0,8.0,0.0,928.0,8.0,2.0,1410.0,16.0,2.0,1352.0,1983.0,3335.0,21.0,10.0,19.0,10.0,40.0,20.0,0.0,2.0,2.0,1265.0,0.0,253.0,1518.0,267906.0,3581.0,1269.0,238.0,271487.0,1507.0,272994.0,2003,JUN,1428.0,0,2.0,2003-06-01
Del Norte,472.0,4.0,0.0,724.0,1.0,2.0,1196.0,5.0,2.0,1397.0,1559.0,2956.0,13.0,4.0,11.0,1.0,24.0,5.0,0.0,2.0,2.0,146.0,0.0,1057.0,1203.0,236547.0,2109.0,275.0,278.0,238656.0,553.0,239209.0,2003,JUN,1203.0,0,2.0,2003-06-01
Tuolumne,370.0,0.0,0.0,526.0,0.0,0.0,896.0,0.0,0.0,1039.0,1195.0,2234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,987.0,0.0,992.0,175821.0,0.0,0.0,0.0,175821.0,0.0,175821.0,2003,JUN,896.0,0,2.0,2003-06-01
San Benito,301.0,4.0,0.0,546.0,22.0,8.0,847.0,26.0,8.0,882.0,1276.0,2158.0,10.0,4.0,62.0,28.0,72.0,32.0,0.0,8.0,8.0,988.0,0.0,0.0,988.0,179928.0,6635.0,1015.0,833.0,186563.0,1848.0,188411.0,2003,JUN,881.0,0,2.0,2003-06-01
Nevada,285.0,0.0,0.0,542.0,1.0,0.0,827.0,1.0,0.0,712.0,1080.0,1792.0,0.0,0.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,797.0,0.0,106.0,903.0,152304.0,44.0,117.0,0.0,152348.0,117.0,152465.0,2003,JUN,828.0,0,2.0,2003-06-01
Glenn,233.0,0.0,0.0,521.0,0.0,4.0,754.0,0.0,4.0,707.0,1412.0,2119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,826.0,0.0,0.0,826.0,159571.0,0.0,0.0,539.0,159571.0,539.0,160110.0,2003,JUN,758.0,0,2.0,2003-06-01
Napa,163.0,2.0,0.0,547.0,9.0,10.0,710.0,11.0,10.0,403.0,1224.0,1627.0,8.0,2.0,16.0,10.0,24.0,12.0,0.0,16.0,16.0,956.0,0.0,0.0,956.0,158624.0,2830.0,818.0,1851.0,161454.0,2669.0,164123.0,2003,JUN,731.0,0,2.0,2003-06-01
Lassen,272.0,3.0,0.0,395.0,3.0,2.0,667.0,6.0,2.0,781.0,934.0,1715.0,4.0,5.0,5.0,3.0,9.0,8.0,0.0,2.0,2.0,276.0,0.0,467.0,743.0,143986.0,646.0,471.0,278.0,144632.0,749.0,145381.0,2003,JUN,675.0,0,2.0,2003-06-01
Calaveras,217.0,0.0,0.0,436.0,0.0,0.0,653.0,0.0,0.0,561.0,902.0,1463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583.0,0.0,132.0,715.0,124705.0,0.0,0.0,0.0,124705.0,0.0,124705.0,2003,JUN,653.0,0,2.0,2003-06-01
Amador,126.0,1.0,0.0,291.0,1.0,1.0,417.0,2.0,1.0,335.0,585.0,920.0,2.0,1.0,2.0,1.0,4.0,2.0,0.0,1.0,1.0,390.0,0.0,64.0,454.0,81525.0,0.0,0.0,0.0,81525.0,0.0,81525.0,2003,JUN,420.0,0,2.0,2003-06-01
Colusa,82.0,0.0,0.0,290.0,8.0,3.0,372.0,8.0,3.0,207.0,769.0,976.0,0.0,0.0,24.0,8.0,24.0,8.0,0.0,5.0,5.0,401.0,0.0,0.0,401.0,74413.0,1638.0,371.0,499.0,76051.0,870.0,76921.0,2003,JUN,383.0,0,2.0,2003-06-01
Inyo,61.0,0.0,0.0,318.0,0.0,0.0,379.0,0.0,0.0,177.0,541.0,718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,0.0,0.0,394.0,65377.0,0.0,0.0,0.0,65377.0,0.0,65377.0,2003,JUN,379.0,0,2.0,2003-06-01
Trinity,114.0,0.0,0.0,197.0,0.0,0.0,311.0,0.0,0.0,309.0,455.0,764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,84.0,311.0,64678.0,0.0,0.0,0.0,64678.0,0.0,64678.0,2003,JUN,311.0,0,2.0,2003-06-01
Mariposa,87.0,0.0,0.0,213.0,0.0,0.0,300.0,0.0,0.0,254.0,472.0,726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,304.0,314.0,59957.0,0.0,0.0,0.0,59957.0,0.0,59957.0,2003,JUN,300.0,0,2.0,2003-06-01
Modoc,98.0,0.0,0.0,184.0,2.0,0.0,282.0,2.0,0.0,265.0,388.0,653.0,0.0,0.0,8.0,3.0,8.0,3.0,0.0,0.0,0.0,284.0,0.0,0.0,284.0,52697.0,418.0,0.0,0.0,53115.0,0.0,53115.0,2003,JUN,284.0,0,2.0,2003-06-01
Plumas,78.0,0.0,0.0,141.0,0.0,0.0,219.0,0.0,0.0,184.0,306.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,7.0,0.0,229.0,37786.0,0.0,0.0,0.0,37786.0,0.0,37786.0,2003,JUN,219.0,0,2.0,2003-06-01
Mono,20.0,0.0,0.0,102.0,1.0,0.0,122.0,1.0,0.0,56.0,182.0,238.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,121.0,0.0,11.0,132.0,21896.0,366.0,99.0,0.0,22262.0,99.0,22361.0,2003,JUN,123.0,0,2.0,2003-06-01
Sierra,17.0,0.0,0.0,26.0,0.0,0.0,43.0,0.0,0.0,54.0,48.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,43.0,8437.0,0.0,0.0,0.0,8437.0,0.0,8437.0,2003,JUN,43.0,0,2.0,2003-06-01
Alpine,5.0,0.0,0.0,28.0,0.0,0.0,33.0,0.0,0.0,12.0,79.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,33.0,6353.0,0.0,0.0,0.0,6353.0,0.0,6353.0,2003,JUN,33.0,0,2.0,2003-06-01
