county,req_exped_service_adjustment,req_exped_service_pend_prev_qtr,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_5_days,req_exped_service_disposed_entitled_pacf_over_5_days,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_5_days,req_exped_service_disposed_entitled_nacf_over_5_days,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_tot_hh_fail_complete_app_process,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,year,month,quarter,fulldate
California,93.0,30483.0,146215.0,176698.0,147421.0,53904.0,7033.0,706.0,4103.0,34419.0,2650.0,4993.0,93517.0,15230.0,78287.0,29277.0,3484.0,269.0,3215.0,2003,JUL,3.0,2003-07-01
Alameda,,0.0,2469.0,2469.0,2469.0,1686.0,84.0,7.0,20.0,1412.0,28.0,135.0,783.0,119.0,664.0,0.0,1.0,1.0,0.0,2003,JUL,3.0,2003-07-01
Alpine,,0.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,2003,JUL,3.0,2003-07-01
Amador,,8.0,91.0,99.0,91.0,77.0,4.0,0.0,0.0,72.0,1.0,0.0,14.0,1.0,13.0,8.0,2.0,0.0,2.0,2003,JUL,3.0,2003-07-01
Butte,,14.0,638.0,652.0,638.0,485.0,77.0,13.0,10.0,307.0,54.0,24.0,153.0,20.0,133.0,14.0,65.0,11.0,54.0,2003,JUL,3.0,2003-07-01
Calaveras,-17.0,0.0,129.0,129.0,123.0,105.0,16.0,1.0,1.0,74.0,6.0,7.0,18.0,1.0,17.0,6.0,1.0,0.0,1.0,2003,JUL,3.0,2003-07-01
Colusa,,0.0,48.0,48.0,48.0,35.0,5.0,0.0,0.0,28.0,1.0,1.0,13.0,3.0,10.0,0.0,2.0,0.0,2.0,2003,JUL,3.0,2003-07-01
Contra Costa,,0.0,1744.0,1744.0,1744.0,544.0,243.0,2.0,2.0,281.0,9.0,7.0,1200.0,206.0,994.0,0.0,6.0,6.0,0.0,2003,JUL,3.0,2003-07-01
Del Norte,,0.0,193.0,193.0,191.0,164.0,27.0,0.0,0.0,129.0,4.0,4.0,27.0,2.0,25.0,2.0,0.0,0.0,0.0,2003,JUL,3.0,2003-07-01
El Dorado,,10.0,162.0,172.0,152.0,126.0,15.0,2.0,10.0,71.0,8.0,20.0,26.0,5.0,21.0,20.0,1.0,0.0,1.0,2003,JUL,3.0,2003-07-01
Fresno,,1422.0,2748.0,4170.0,2815.0,2212.0,616.0,40.0,45.0,1361.0,85.0,65.0,603.0,471.0,132.0,1355.0,0.0,0.0,0.0,2003,JUL,3.0,2003-07-01
Glenn,,0.0,75.0,75.0,74.0,63.0,15.0,0.0,0.0,48.0,0.0,0.0,11.0,2.0,9.0,1.0,1.0,0.0,1.0,2003,JUL,3.0,2003-07-01
Humboldt,,0.0,564.0,564.0,564.0,470.0,10.0,1.0,4.0,217.0,78.0,160.0,94.0,28.0,66.0,0.0,28.0,8.0,20.0,2003,JUL,3.0,2003-07-01
Imperial,,0.0,109.0,109.0,109.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,2003,JUL,3.0,2003-07-01
Inyo,,7.0,61.0,68.0,61.0,48.0,8.0,0.0,0.0,37.0,1.0,2.0,13.0,2.0,11.0,7.0,0.0,0.0,0.0,2003,JUL,3.0,2003-07-01
Kern,,60.0,4308.0,4368.0,4292.0,1348.0,221.0,5.0,7.0,1085.0,11.0,19.0,2944.0,1011.0,1933.0,76.0,343.0,109.0,234.0,2003,JUL,3.0,2003-07-01
Kings,,6.0,531.0,537.0,521.0,260.0,104.0,6.0,6.0,128.0,6.0,10.0,261.0,113.0,148.0,16.0,44.0,6.0,38.0,2003,JUL,3.0,2003-07-01
Lake,,191.0,228.0,419.0,279.0,214.0,44.0,3.0,2.0,153.0,11.0,1.0,65.0,10.0,55.0,140.0,4.0,1.0,3.0,2003,JUL,3.0,2003-07-01
Lassen,,1.0,176.0,177.0,174.0,65.0,9.0,4.0,0.0,42.0,7.0,3.0,109.0,41.0,68.0,3.0,1.0,0.0,1.0,2003,JUL,3.0,2003-07-01
Los Angeles,,19886.0,79892.0,99778.0,81741.0,23139.0,913.0,394.0,3722.0,12714.0,1660.0,3736.0,58602.0,4686.0,53916.0,18037.0,2476.0,30.0,2446.0,2003,JUL,3.0,2003-07-01
Madera,,13.0,304.0,317.0,288.0,206.0,53.0,1.0,0.0,150.0,2.0,0.0,82.0,8.0,74.0,29.0,6.0,2.0,4.0,2003,JUL,3.0,2003-07-01
Marin,,69.0,120.0,189.0,113.0,92.0,7.0,0.0,1.0,73.0,3.0,8.0,21.0,3.0,18.0,76.0,1.0,0.0,1.0,2003,JUL,3.0,2003-07-01
Mariposa,,1.0,36.0,37.0,34.0,25.0,7.0,0.0,2.0,16.0,0.0,0.0,9.0,0.0,9.0,3.0,0.0,0.0,0.0,2003,JUL,3.0,2003-07-01
Mendocino,-8.0,0.0,317.0,317.0,310.0,286.0,54.0,1.0,0.0,218.0,7.0,6.0,24.0,5.0,19.0,7.0,1.0,0.0,1.0,2003,JUL,3.0,2003-07-01
Merced,133.0,1262.0,438.0,1700.0,435.0,96.0,33.0,3.0,4.0,52.0,1.0,3.0,339.0,154.0,185.0,1265.0,0.0,0.0,0.0,2003,JUL,3.0,2003-07-01
Modoc,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,JUL,3.0,2003-07-01
Mono,,0.0,8.0,8.0,8.0,8.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,JUL,3.0,2003-07-01
Monterey,-10.0,9.0,954.0,963.0,942.0,408.0,83.0,0.0,3.0,307.0,3.0,12.0,534.0,44.0,490.0,21.0,2.0,0.0,2.0,2003,JUL,3.0,2003-07-01
Napa,,11.0,350.0,361.0,352.0,101.0,2.0,0.0,0.0,94.0,1.0,4.0,251.0,91.0,160.0,9.0,9.0,0.0,9.0,2003,JUL,3.0,2003-07-01
Nevada,,111.0,99.0,210.0,94.0,80.0,4.0,0.0,3.0,69.0,0.0,4.0,14.0,3.0,11.0,116.0,2.0,0.0,2.0,2003,JUL,3.0,2003-07-01
Orange,,21.0,683.0,704.0,682.0,548.0,58.0,0.0,0.0,488.0,0.0,2.0,134.0,21.0,113.0,22.0,0.0,0.0,0.0,2003,JUL,3.0,2003-07-01
Placer,,45.0,359.0,404.0,359.0,216.0,49.0,1.0,1.0,151.0,6.0,8.0,143.0,30.0,113.0,45.0,0.0,0.0,0.0,2003,JUL,3.0,2003-07-01
Plumas,-1.0,0.0,40.0,40.0,38.0,30.0,3.0,0.0,0.0,25.0,1.0,1.0,8.0,0.0,8.0,2.0,5.0,0.0,5.0,2003,JUL,3.0,2003-07-01
Riverside,,37.0,5643.0,5680.0,5642.0,1757.0,401.0,50.0,1.0,1201.0,100.0,4.0,3885.0,730.0,3155.0,38.0,60.0,6.0,54.0,2003,JUL,3.0,2003-07-01
Sacramento,,673.0,5329.0,6002.0,5070.0,1849.0,516.0,13.0,11.0,1226.0,47.0,36.0,3221.0,2011.0,1210.0,932.0,0.0,0.0,0.0,2003,JUL,3.0,2003-07-01
San Benito,,0.0,106.0,106.0,106.0,92.0,35.0,2.0,0.0,55.0,0.0,0.0,14.0,1.0,13.0,0.0,0.0,0.0,0.0,2003,JUL,3.0,2003-07-01
San Bernardino,,0.0,7638.0,7638.0,7638.0,5948.0,1828.0,75.0,188.0,3473.0,94.0,290.0,1690.0,723.0,967.0,0.0,135.0,61.0,74.0,2003,JUL,3.0,2003-07-01
San Diego,,30.0,7815.0,7845.0,7808.0,2011.0,139.0,8.0,5.0,1800.0,37.0,22.0,5797.0,2725.0,3072.0,37.0,17.0,3.0,14.0,2003,JUL,3.0,2003-07-01
San Francisco,,1412.0,4275.0,5687.0,4259.0,1955.0,8.0,0.0,0.0,1943.0,1.0,3.0,2304.0,0.0,2304.0,1428.0,16.0,4.0,12.0,2003,JUL,3.0,2003-07-01
San Joaquin,-1.0,5.0,351.0,356.0,347.0,312.0,105.0,10.0,12.0,155.0,22.0,8.0,35.0,7.0,28.0,9.0,1.0,0.0,1.0,2003,JUL,3.0,2003-07-01
San Luis Obispo,,3108.0,529.0,3637.0,471.0,214.0,90.0,1.0,1.0,122.0,0.0,0.0,257.0,66.0,191.0,3166.0,4.0,4.0,0.0,2003,JUL,3.0,2003-07-01
San Mateo,,8.0,524.0,532.0,524.0,520.0,255.0,6.0,10.0,222.0,10.0,17.0,4.0,2.0,2.0,8.0,64.0,1.0,63.0,2003,JUL,3.0,2003-07-01
Santa Barbara,,0.0,1281.0,1281.0,1281.0,391.0,70.0,0.0,0.0,320.0,0.0,1.0,890.0,138.0,752.0,0.0,0.0,0.0,0.0,2003,JUL,3.0,2003-07-01
Santa Clara,,581.0,5695.0,6276.0,5618.0,712.0,242.0,4.0,2.0,336.0,18.0,110.0,4906.0,670.0,4236.0,658.0,0.0,0.0,0.0,2003,JUL,3.0,2003-07-01
Santa Cruz,,144.0,1326.0,1470.0,1194.0,477.0,60.0,5.0,1.0,272.0,52.0,87.0,717.0,31.0,686.0,276.0,6.0,0.0,6.0,2003,JUL,3.0,2003-07-01
Shasta,,231.0,492.0,723.0,461.0,352.0,25.0,5.0,6.0,298.0,7.0,11.0,109.0,11.0,98.0,262.0,12.0,0.0,12.0,2003,JUL,3.0,2003-07-01
Sierra,,0.0,9.0,9.0,9.0,9.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,JUL,3.0,2003-07-01
Siskiyou,-3.0,0.0,180.0,180.0,174.0,138.0,38.0,0.0,1.0,94.0,2.0,3.0,36.0,6.0,30.0,6.0,3.0,1.0,2.0,2003,JUL,3.0,2003-07-01
Solano,,0.0,588.0,588.0,588.0,558.0,49.0,13.0,6.0,466.0,18.0,6.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,2003,JUL,3.0,2003-07-01
Sonoma,,13.0,1757.0,1770.0,1712.0,940.0,129.0,6.0,3.0,779.0,9.0,14.0,772.0,373.0,399.0,58.0,0.0,0.0,0.0,2003,JUL,3.0,2003-07-01
Stanislaus,,0.0,421.0,421.0,421.0,136.0,29.0,3.0,1.0,84.0,11.0,8.0,285.0,63.0,222.0,0.0,10.0,2.0,8.0,2003,JUL,3.0,2003-07-01
Sutter,,14.0,222.0,236.0,230.0,119.0,33.0,1.0,4.0,75.0,6.0,0.0,111.0,38.0,73.0,6.0,1.0,0.0,1.0,2003,JUL,3.0,2003-07-01
Tehama,,10.0,373.0,383.0,368.0,149.0,27.0,16.0,3.0,59.0,29.0,15.0,219.0,98.0,121.0,15.0,3.0,0.0,3.0,2003,JUL,3.0,2003-07-01
Trinity,,20.0,39.0,59.0,35.0,29.0,1.0,0.0,0.0,27.0,1.0,0.0,6.0,0.0,6.0,24.0,13.0,0.0,13.0,2003,JUL,3.0,2003-07-01
Tulare,,685.0,840.0,1525.0,838.0,464.0,55.0,3.0,2.0,392.0,7.0,5.0,374.0,77.0,297.0,687.0,1.0,1.0,0.0,2003,JUL,3.0,2003-07-01
Tuolumne,,7.0,392.0,399.0,394.0,109.0,13.0,0.0,0.0,95.0,1.0,0.0,285.0,112.0,173.0,5.0,3.0,0.0,3.0,2003,JUL,3.0,2003-07-01
Ventura,,345.0,1479.0,1824.0,1456.0,882.0,3.0,1.0,3.0,599.0,171.0,105.0,574.0,5.0,569.0,368.0,134.0,12.0,122.0,2003,JUL,3.0,2003-07-01
Yolo,,0.0,397.0,397.0,397.0,372.0,34.0,0.0,0.0,329.0,5.0,4.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,2003,JUL,3.0,2003-07-01
Yuba,,13.0,636.0,649.0,635.0,242.0,49.0,0.0,0.0,184.0,7.0,2.0,393.0,182.0,211.0,14.0,0.0,0.0,0.0,2003,JUL,3.0,2003-07-01
