July 2017,Number of Household Contacts By Race,,,,,,,,,,,,,,,Number of Household Contacts By Race (Continued),,,,,,,,,,,,,,,Number of Household Contacts By Race (Continued),,,,,,,,,,,,,,,Number of Household Contacts By Race (Continued),,,,,,,,,,,,,,,Number of Household Contacts By Race (Continued),,,,,,,,,,,,Number of Household Contacts By Race (Continued),,,,,,,,,Number of Hispanic or Latino Household Contacts Reported in Section A. By Race,,,,,,,,,,,,,,,Number of Hispanic or Latino Household Contacts Reported in Section A. By Race (Continued),,,,,,,,,,,,,,,Number of Hispanic or Latino Household Contacts Reported in Section A. By Race (Continued),,,,,,,,,,,,,,,Number of Hispanic or Latino Household Contacts Reported in Section A. By Race (Continued),,,,,,,,,,,,,,,Number of Hispanic or Latino Household Contacts Reported in Section A. By Race (Continued),,,,,,,,,,,,"Number of Hispanic or Latino Household Contacts 
Reported in Section A. By Race (Continued)",,,,,,,,,CDSS Use Only:
,Household Contacts Who Marked Only One Race,,,,,,,,,,,,,,,Household Contacts Who Marked Only One Race (Continued),,,,,,,,,,,,,,,Household Contacts Who Marked Only One Race (Continued),,,,,,,,,,,,,,,Household Contacts Who Marked Only One Race (Continued),,,,,,,,,,,,,,,Household Contracts Who Marked Two Races,,,,,,,,,,,,Other--Household Contacts Who Chose Racial Combinations Not Included Above,,,Nonreporting Household Contacts Where Worker Unable to Make Race Determination,,,TOTALS,,,Household Contacts Who Marked Only One Race,,,,,,,,,,,,,,,Household Contacts Who Marked Only One Race (Continued),,,,,,,,,,,,,,,Household Contacts Who Marked Only One Race (Continued),,,,,,,,,,,,,,,Household Contacts Who Marked Only One Race (Continued),,,,,,,,,,,,,,,Household Contracts Who Marked Two Races,,,,,,,,,,,,Other--Household Contacts Who Chose Racial Combinations Not Included Above,,,Nonreporting Household Contacts Where Worker Unable to Make Race Determination,,,TOTALS,,,11685866.0
,,,,Asian Categories,,,,,,,,,,,,Asian Categories (Continued),,,,,,,,,,,,,,,Asian Categories (Continued),,,,,,,,,Native Hawaiian or Other Pacific Islander,,,,,,Native Hawaiian or Other Pacific Islander (Continued),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian Categories,,,,,,,,,,,,Asian Categories (Continued),,,,,,,,,,,,,,,"Asian Categories 
(Continued)",,,,,,,,,"Native Hawaiian or 
Other Pacific Islander",,,,,,Native Hawaiian or Other Pacific Islander (Continued),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"American Indian or
Alaskan Native",,,Total Asian,,,Asian Indian,,,Cambodian,,,Chinese,,,Japanese,,,Filipino,,,Korean,,,Laotian,,,Vietnamese,,,Other Asian,,,More Than One Asian Group,,,"Black or 
African American",,,"Total Hawaiian or 
Other Pacific Islander",,,Native Hawaiian,,,Guamanian,,,Samoan,,,Other Pacific Islander,,,More Than One Native Hawaiian or Pacific Islander Group,,,White,,,American Indian or Alaskan Native and White,,,Asian and White,,,"Black or African American
and White",,,American Indian or Alaska Native and Black or African American,,,Reporting Race(s) Not Included Above,,,Worker Unable to Determine Race,,,PAFS Households,NAFS Households,Total,"American Indian or
Alaskan Native",,,Total Asian,,,Asian Indian,,,Cambodian,,,Chinese,,,Japanese,,,Filipino,,,Korean,,,Laotian,,,Vietnamese,,,Other Asian,,,More Than One Asian Group,,,"Black or 
African American",,,"Total Hawaiian or 
Other Pacific Islander",,,"Native 
Hawaiian",,,Guamanian,,,Samoan,,,"Other Pacific 
Islander",,,More Than One Native Hawaiian or Pacific Islander Group,,,White,,,American Indian or Alaskan Native and White,,,"Asian 
and White",,,"Black or African American 
and White",,,American Indian or Alaska Native and Black or African American,,,Reporting Race(s) Not Included Above,,,Worker Unable to Determine Race,,,PAFS Households,NAFS Households,Total,
,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,,,,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,,,,
,1.0,2.0,3.0,7.0,8.0,9.0,13.0,14.0,15.0,19.0,20.0,21.0,25.0,26.0,27.0,31.0,32.0,33.0,37.0,38.0,39.0,43.0,44.0,45.0,49.0,50.0,51.0,55.0,56.0,57.0,61.0,62.0,63.0,67.0,68.0,69.0,73.0,74.0,75.0,79.0,80.0,81.0,85.0,86.0,87.0,91.0,92.0,93.0,97.0,98.0,99.0,103.0,104.0,105.0,109.0,110.0,111.0,115.0,116.0,117.0,121.0,122.0,123.0,127.0,128.0,129.0,133.0,134.0,135.0,139.0,140.0,141.0,145.0,146.0,147.0,151.0,152.0,153.0,157.0,158.0,159.0,4.0,5.0,6.0,10.0,11.0,12.0,16.0,17.0,18.0,22.0,23.0,24.0,28.0,29.0,30.0,34.0,35.0,36.0,40.0,41.0,42.0,46.0,47.0,48.0,52.0,53.0,54.0,58.0,59.0,60.0,64.0,65.0,66.0,70.0,71.0,72.0,76.0,77.0,78.0,82.0,83.0,84.0,88.0,89.0,90.0,94.0,95.0,96.0,100.0,101.0,102.0,106.0,107.0,108.0,112.0,113.0,114.0,118.0,119.0,120.0,124.0,125.0,126.0,130.0,131.0,132.0,136.0,137.0,138.0,142.0,143.0,144.0,148.0,149.0,150.0,154.0,155.0,156.0,160.0,161.0,162.0,
Statewide,2078.0,15444.0,17522.0,6574.0,103090.0,109664.0,566.0,6208.0,6774.0,693.0,5328.0,6021.0,538.0,16368.0,16906.0,119.0,1643.0,1762.0,1508.0,23023.0,24531.0,276.0,4868.0,5144.0,467.0,4640.0,5107.0,962.0,27115.0,28077.0,1314.0,12615.0,13929.0,131.0,1282.0,1413.0,36809.0,238091.0,274900.0,1348.0,11498.0,12846.0,172.0,1791.0,1963.0,90.0,921.0,1011.0,379.0,2668.0,3047.0,693.0,6026.0,6719.0,14.0,92.0,106.0,89853.0,740516.0,830369.0,1022.0,6533.0,7555.0,480.0,3478.0,3958.0,970.0,4941.0,5911.0,157.0,919.0,1076.0,69653.0,364076.0,433729.0,31547.0,231858.0,263405.0,240491.0,1720444.0,1960935.0,631.0,3846.0,4477.0,270.0,2006.0,2276.0,70.0,387.0,457.0,15.0,84.0,99.0,11.0,63.0,74.0,12.0,117.0,129.0,98.0,814.0,912.0,4.0,46.0,50.0,24.0,188.0,212.0,6.0,70.0,76.0,28.0,204.0,232.0,2.0,33.0,35.0,694.0,3505.0,4199.0,92.0,723.0,815.0,27.0,252.0,279.0,19.0,141.0,160.0,17.0,127.0,144.0,28.0,194.0,222.0,1.0,9.0,10.0,41439.0,238782.0,280221.0,484.0,1927.0,2411.0,164.0,914.0,1078.0,249.0,1141.0,1390.0,27.0,89.0,116.0,65341.0,333106.0,398447.0,25782.0,176519.0,202301.0,135173.0,762558.0,897731.0,
Alameda,49.0,209.0,258.0,378.0,7731.0,8109.0,33.0,563.0,596.0,24.0,222.0,246.0,54.0,2755.0,2809.0,3.0,54.0,57.0,51.0,1159.0,1210.0,10.0,161.0,171.0,7.0,80.0,87.0,38.0,1427.0,1465.0,158.0,1310.0,1468.0,0.0,0.0,0.0,2046.0,17403.0,19449.0,43.0,473.0,516.0,3.0,57.0,60.0,2.0,23.0,25.0,14.0,99.0,113.0,24.0,294.0,318.0,0.0,0.0,0.0,792.0,13260.0,14052.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1809.0,12293.0,14102.0,0.0,0.0,0.0,5117.0,51375.0,56492.0,0.0,0.0,0.0,2.0,8.0,10.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,11.0,12.0,0.0,6.0,6.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,22.0,371.0,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1196.0,7190.0,8386.0,0.0,0.0,0.0,1221.0,7589.0,8810.0,
Alpine,1.0,43.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,75.0,76.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,
Amador,3.0,25.0,28.0,1.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,13.0,15.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,1343.0,1430.0,6.0,23.0,29.0,0.0,7.0,7.0,0.0,3.0,3.0,0.0,0.0,0.0,14.0,58.0,72.0,5.0,49.0,54.0,118.0,1531.0,1649.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,47.0,54.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,11.0,49.0,60.0,2.0,17.0,19.0,21.0,122.0,143.0,
Butte,38.0,325.0,363.0,57.0,647.0,704.0,1.0,27.0,28.0,1.0,6.0,7.0,0.0,16.0,16.0,1.0,5.0,6.0,3.0,53.0,56.0,0.0,7.0,7.0,11.0,159.0,170.0,0.0,20.0,20.0,33.0,304.0,337.0,7.0,50.0,57.0,65.0,584.0,649.0,5.0,34.0,39.0,0.0,14.0,14.0,2.0,2.0,4.0,3.0,13.0,16.0,0.0,4.0,4.0,0.0,1.0,1.0,1106.0,10603.0,11709.0,42.0,325.0,367.0,4.0,73.0,77.0,15.0,75.0,90.0,2.0,16.0,18.0,119.0,1605.0,1724.0,80.0,807.0,887.0,1533.0,15094.0,16627.0,3.0,58.0,61.0,1.0,13.0,14.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,26.0,27.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,77.0,596.0,673.0,4.0,38.0,42.0,2.0,12.0,14.0,1.0,7.0,8.0,0.0,0.0,0.0,103.0,1427.0,1530.0,61.0,323.0,384.0,254.0,2502.0,2756.0,
Calaveras,4.0,58.0,62.0,0.0,25.0,25.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,10.0,10.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,29.0,31.0,1.0,4.0,5.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,165.0,2246.0,2411.0,2.0,30.0,32.0,0.0,7.0,7.0,0.0,6.0,6.0,0.0,0.0,0.0,13.0,110.0,123.0,5.0,74.0,79.0,192.0,2589.0,2781.0,1.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,87.0,91.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,99.0,112.0,4.0,37.0,41.0,22.0,239.0,261.0,
Colusa,2.0,7.0,9.0,0.0,7.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,13.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,51.0,352.0,403.0,1.0,10.0,11.0,0.0,3.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,21.0,150.0,171.0,3.0,61.0,64.0,81.0,605.0,686.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,92.0,116.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,21.0,146.0,167.0,2.0,32.0,34.0,48.0,279.0,327.0,
Contra Costa,24.0,128.0,152.0,117.0,1639.0,1756.0,14.0,176.0,190.0,2.0,27.0,29.0,9.0,196.0,205.0,0.0,32.0,32.0,41.0,680.0,721.0,7.0,47.0,54.0,9.0,97.0,106.0,9.0,159.0,168.0,25.0,212.0,237.0,1.0,13.0,14.0,1123.0,7591.0,8714.0,4.0,103.0,107.0,2.0,63.0,65.0,1.0,23.0,24.0,0.0,4.0,4.0,0.0,8.0,8.0,1.0,5.0,6.0,632.0,7399.0,8031.0,5.0,48.0,53.0,4.0,39.0,43.0,7.0,61.0,68.0,8.0,31.0,39.0,153.0,809.0,962.0,1633.0,9562.0,11195.0,3710.0,27410.0,31120.0,8.0,27.0,35.0,1.0,24.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,15.0,16.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,12.0,83.0,95.0,0.0,13.0,13.0,0.0,10.0,10.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,3.0,3.0,3.0,1.0,4.0,115.0,588.0,703.0,1371.0,6823.0,8194.0,1513.0,7569.0,9082.0,
Del Norte,39.0,236.0,275.0,26.0,81.0,107.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,2.0,3.0,4.0,7.0,0.0,0.0,0.0,6.0,18.0,24.0,0.0,1.0,1.0,15.0,43.0,58.0,1.0,3.0,4.0,5.0,13.0,18.0,0.0,8.0,8.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,243.0,1632.0,1875.0,14.0,69.0,83.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0,0.0,0.0,14.0,69.0,83.0,17.0,87.0,104.0,358.0,2204.0,2562.0,1.0,13.0,14.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,79.0,87.0,1.0,4.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,52.0,63.0,7.0,28.0,35.0,30.0,180.0,210.0,
